# ph	Lobs	err	L+BB	err	

57680.30	1.19e+41	6.38e+39	4.95e+41	7.28e+41
57682.10	1.13e+41	5.33e+39	4.76e+41	6.66e+41
57686.30	1.13e+41	5.57e+39	4.43e+41	3.69e+41
57694.10	1.23e+41	5.58e+39	4.39e+41	4.24e+41
57701.10	1.27e+41	5.71e+39	4.05e+41	2.99e+41
57708.20	1.31e+41	5.54e+39	3.65e+41	2.54e+41
57714.10	1.27e+41	5.10e+39	3.05e+41	1.71e+41
57719.20	1.24e+41	5.03e+39	3.02e+41	1.42e+41
57724.10	1.25e+41	4.88e+39	3.00e+41	1.54e+41
57730.10	1.33e+41	5.14e+39	3.13e+41	1.44e+41
57739.20	1.38e+41	5.42e+39	3.19e+41	1.29e+41
57746.10	1.56e+41	5.95e+39	3.84e+41	2.25e+41
57750.20	1.77e+41	6.84e+39	4.26e+41	2.43e+41
57756.10	1.85e+41	7.29e+39	4.52e+41	2.21e+41
57763.10	2.20e+41	8.78e+39	5.56e+41	3.22e+41
57770.10	2.55e+41	1.03e+40	7.15e+41	4.97e+41
57778.10	2.89e+41	1.27e+40	8.02e+41	4.22e+41
57782.10	3.10e+41	1.36e+40	8.69e+41	4.74e+41
57789.10	3.24e+41	1.48e+40	8.50e+41	3.86e+41
57800.10	3.60e+41	1.61e+40	1.37e+42	1.67e+42
57811.50	3.69e+41	2.22e+40	1.22e+42	1.52e+42
57845.50	3.50e+41	2.24e+40	2.66e+42	9.58e+42
57905.40	2.58e+41	1.25e+40	5.15e+42	2.18e+43
57906.40	2.52e+41	1.52e+40	3.27e+42	1.35e+43
57908.40	2.45e+41	1.30e+40	3.80e+42	1.59e+43
57955.90	1.19e+41	8.16e+39	4.17e+42	1.76e+43
57962.40	9.95e+40	7.92e+39	4.84e+42	1.43e+43
57987.30	4.94e+40	1.66e+39	9.93e+40	6.19e+40
57992.30	4.70e+40	1.67e+39	9.74e+40	5.37e+40
57999.30	4.90e+40	2.24e+39	9.28e+40	3.31e+40
58003.30	4.78e+40	2.66e+39	8.83e+40	2.71e+40
58007.40	4.94e+40	1.96e+39	9.80e+40	3.85e+40
58014.20	4.80e+40	1.72e+39	1.06e+41	6.81e+40
58020.30	4.18e+40	1.62e+39	8.32e+40	4.22e+40
58028.20	4.44e+40	1.90e+39	8.37e+40	3.53e+40
58036.30	5.05e+40	2.16e+39	9.00e+40	4.29e+40
58040.30	3.92e+40	1.48e+39	8.20e+40	4.25e+40
58045.30	3.88e+40	1.47e+39	8.11e+40	4.29e+40
58052.10	3.69e+40	1.53e+39	7.31e+40	2.34e+40
58057.20	3.89e+40	1.52e+39	7.56e+40	3.28e+40
58064.20	4.03e+40	1.82e+39	7.22e+40	3.18e+40
58071.20	3.71e+40	1.29e+39	7.60e+40	3.94e+40
58076.30	3.26e+40	1.34e+39	6.37e+40	2.37e+40
58082.20	3.25e+40	1.29e+39	6.68e+40	3.50e+40
58098.20	3.65e+40	1.80e+39	9.83e+40	6.21e+40
58101.20	3.21e+40	1.58e+39	8.25e+40	5.17e+40
58107.20	2.90e+40	1.23e+39	7.25e+40	7.84e+40
58117.10	3.07e+40	2.84e+39	6.42e+40	3.60e+40
58124.10	2.39e+40	1.39e+39	5.59e+40	3.41e+40
58131.10	2.02e+40	2.07e+39	3.30e+40	3.39e+40
58137.10	1.84e+40	1.70e+39	4.14e+40	5.42e+40
58141.10	1.68e+40	1.98e+39	2.95e+40	2.45e+40
58153.10	1.96e+40	2.53e+39	6.50e+40	1.21e+41
58160.00	1.52e+40	2.32e+39	4.09e+40	5.86e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_DES16C3cje_griz.txt and logL-bb_DES16C3cje_griz.txt for simple LC files
# Methodology:
# filters used:griz
# redshift used:0.0618
# extinction used:0.17
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
