# ph	Lobs	err	L+BB	err	

56884.40	3.52e+42	5.94e+41	4.48e+42	9.61e+41
56906.40	5.96e+42	9.32e+41	7.52e+42	1.50e+42
56920.30	6.90e+42	1.04e+42	8.73e+42	1.67e+42
56927.30	8.07e+42	1.20e+42	1.04e+43	1.74e+42
56931.30	7.95e+42	1.19e+42	1.05e+43	2.13e+42
56938.30	8.28e+42	1.21e+42	1.10e+43	2.51e+42
56942.30	9.51e+42	1.29e+42	1.17e+43	2.10e+42
56953.20	9.81e+42	1.29e+42	1.31e+43	2.44e+42
56954.30	1.08e+43	1.35e+42	1.37e+43	2.15e+42
56958.30	1.01e+43	1.33e+42	1.32e+43	2.53e+42
56965.20	1.02e+43	1.37e+42	1.32e+43	2.48e+42
56970.30	1.10e+43	1.45e+42	1.36e+43	2.26e+42
56975.20	1.08e+43	1.47e+42	1.37e+43	2.05e+42
56977.20	1.08e+43	1.48e+42	1.33e+43	2.45e+42
56980.30	1.07e+43	1.48e+42	1.36e+43	2.31e+42
56985.20	1.07e+43	1.51e+42	1.34e+43	2.56e+42
56992.30	1.07e+43	1.55e+42	1.35e+43	2.67e+42
56996.30	1.10e+43	1.59e+42	1.36e+43	2.63e+42
56997.20	1.12e+43	1.60e+42	1.40e+43	2.35e+42
57005.30	9.56e+42	1.34e+42	1.08e+43	1.58e+42
57011.30	9.21e+42	1.22e+42	1.03e+43	1.38e+42
57015.30	8.46e+42	1.13e+42	9.43e+42	1.28e+42
57019.30	8.51e+42	1.08e+42	9.35e+42	1.18e+42
57020.20	8.61e+42	1.07e+42	9.45e+42	1.12e+42
57023.30	8.06e+42	1.13e+42	8.82e+42	1.20e+42
57025.20	7.83e+42	1.16e+42	8.64e+42	1.24e+42
57026.30	7.58e+42	1.11e+42	8.29e+42	1.18e+42
57029.30	7.19e+42	9.72e+41	7.82e+42	1.02e+42
57034.30	6.64e+42	7.87e+41	7.15e+42	8.18e+41
57037.20	5.75e+42	6.77e+41	6.20e+42	7.02e+41
57039.30	5.51e+42	6.31e+41	5.93e+42	6.55e+41
57044.30	4.53e+42	5.10e+41	4.87e+42	5.27e+41
57046.20	4.33e+42	5.18e+41	4.66e+42	5.29e+41
57047.10	4.18e+42	5.41e+41	4.49e+42	5.54e+41
57048.20	3.70e+42	4.21e+41	4.00e+42	4.34e+41
57049.20	3.66e+42	4.00e+41	3.94e+42	4.10e+41
57050.10	3.50e+42	3.81e+41	3.75e+42	3.97e+41
57051.30	3.47e+42	3.95e+41	3.73e+42	4.06e+41
57052.20	3.37e+42	4.06e+41	3.62e+42	4.21e+41
57054.20	3.86e+42	8.28e+41	4.17e+42	8.28e+41
57056.10	3.17e+42	6.66e+41	3.46e+42	6.66e+41
57064.10	2.23e+42	2.48e+41	2.45e+42	2.64e+41
57066.20	2.34e+42	5.39e+41	2.57e+42	5.40e+41
57068.10	1.99e+42	2.24e+41	2.22e+42	2.41e+41
57072.10	2.08e+42	4.10e+41	2.29e+42	4.16e+41
57077.20	2.40e+42	1.99e+41	2.61e+42	2.11e+41
57080.20	1.80e+42	2.05e+41	1.99e+42	2.39e+41
57081.20	2.48e+42	6.14e+41	2.67e+42	6.20e+41
57083.20	2.34e+42	8.11e+41	2.52e+42	8.15e+41
57086.20	1.87e+42	1.86e+41	2.04e+42	2.03e+41
57089.10	1.87e+42	3.48e+41	2.04e+42	3.59e+41
57092.10	1.99e+42	5.16e+41	2.15e+42	5.25e+41
57097.10	2.26e+42	5.99e+41	2.43e+42	6.19e+41
57098.10	1.92e+42	4.97e+41	2.06e+42	5.06e+41
57099.10	1.85e+42	4.80e+41	1.99e+42	4.88e+41
57100.10	1.20e+42	2.95e+41	1.29e+42	2.97e+41
57100.90	9.53e+41	1.19e+41	1.02e+42	1.22e+41
57103.10	1.05e+42	1.27e+41	1.13e+42	1.30e+41
57110.00	1.14e+42	1.28e+41	1.23e+42	1.32e+41
57113.10	2.00e+42	6.31e+41	2.10e+42	6.42e+41
57116.10	1.88e+42	3.26e+41	1.97e+42	3.41e+41
57119.10	2.44e+42	6.70e+41	2.50e+42	6.83e+41
57123.00	8.21e+41	1.00e+41	8.86e+41	1.03e+41
57124.10	2.31e+42	7.53e+41	2.37e+42	7.63e+41
57130.00	1.75e+42	4.76e+41	1.81e+42	4.82e+41
57133.00	2.18e+42	6.08e+41	2.24e+42	6.19e+41
57136.00	1.77e+42	4.87e+41	1.82e+42	4.94e+41
57141.00	1.34e+42	4.24e+41	1.39e+42	4.27e+41
57146.00	1.38e+42	1.67e+41	1.43e+42	1.77e+41
57282.40	1.98e+42	5.89e+41	2.08e+42	6.12e+41
57292.30	1.78e+42	4.56e+41	1.86e+42	4.82e+41
57295.40	7.86e+41	1.95e+41	8.10e+41	2.01e+41
57299.40	3.21e+42	9.68e+41	3.43e+42	1.02e+42
57302.40	1.84e+42	4.73e+41	1.93e+42	5.02e+41
57311.30	6.14e+41	1.51e+41	6.31e+41	1.55e+41
57324.30	1.47e+42	3.80e+41	1.55e+42	4.03e+41
57335.40	4.14e+41	1.15e+41	4.24e+41	1.17e+41
57341.20	8.54e+41	2.17e+41	8.89e+41	2.27e+41
57347.30	2.81e+41	6.62e+40	2.89e+41	6.73e+40
57355.20	8.20e+41	2.41e+41	8.55e+41	2.50e+41
57365.30	5.51e+41	1.60e+41	5.70e+41	1.65e+41
57371.30	6.84e+41	1.52e+41	7.14e+41	1.63e+41
57376.30	9.15e+41	2.06e+41	9.64e+41	2.25e+41
57381.20	7.14e+41	1.59e+41	7.49e+41	1.74e+41
57385.20	1.41e+42	3.67e+41	3.22e+43	1.38e+44
57397.20	7.18e+40	2.00e+40	7.81e+40	2.07e+40
