# ph	Lobs	err	L+BB	err	

56198.98	1.18e+42	8.29e+40	2.57e+42	7.83e+41
56228.94	1.66e+42	5.56e+40	3.45e+42	9.45e+41
56238.00	1.76e+42	4.78e+40	3.76e+42	1.11e+42
56238.97	1.69e+42	4.54e+40	3.58e+42	1.04e+42
56239.99	1.75e+42	4.73e+40	3.55e+42	9.06e+41
56240.84	1.71e+42	5.24e+40	3.59e+42	1.07e+42
56241.80	1.68e+42	5.47e+40	3.26e+42	7.04e+41
56245.71	1.74e+42	5.26e+40	3.65e+42	1.08e+42
56245.77	1.69e+42	5.46e+40	3.39e+42	8.10e+41
56247.74	1.62e+42	4.83e+40	3.32e+42	1.39e+42
56248.78	1.60e+42	5.14e+40	3.18e+42	7.96e+41
56250.77	1.70e+42	5.67e+40	3.32e+42	8.13e+41
56250.88	1.65e+42	5.02e+40	3.65e+42	1.26e+42
56251.70	1.67e+42	5.08e+40	3.62e+42	1.28e+42
56252.76	1.59e+42	6.06e+40	3.03e+42	6.38e+41
56252.99	1.59e+42	6.31e+40	3.01e+42	6.21e+41
56253.81	1.61e+42	5.24e+40	3.07e+42	8.88e+41
56254.69	1.57e+42	4.61e+40	3.47e+42	1.50e+42
56254.72	1.59e+42	4.75e+40	3.24e+42	1.26e+42
56254.76	1.58e+42	4.62e+40	3.57e+42	1.60e+42
56256.76	1.51e+42	4.65e+40	3.20e+42	1.01e+42
56256.92	1.57e+42	4.61e+40	3.64e+42	1.59e+42
56257.68	1.60e+42	4.86e+40	3.40e+42	1.24e+42
56259.76	1.55e+42	5.01e+40	3.22e+42	8.71e+41
56261.75	1.49e+42	4.69e+40	3.20e+42	9.08e+41
56264.77	1.45e+42	5.22e+40	2.98e+42	6.60e+41
56265.73	1.31e+42	5.05e+40	2.69e+42	4.45e+41
56265.76	1.36e+42	4.11e+40	3.16e+42	1.13e+42
56266.73	1.30e+42	3.98e+40	2.82e+42	9.63e+41
56267.73	1.20e+42	4.09e+40	2.44e+42	6.39e+41
56268.65	1.21e+42	3.51e+40	2.99e+42	1.40e+42
56268.73	1.15e+42	3.65e+40	2.57e+42	7.16e+41
56269.67	1.16e+42	3.60e+40	2.60e+42	8.85e+41
56270.72	1.09e+42	3.57e+40	2.45e+42	5.70e+41
56271.67	1.07e+42	3.20e+40	2.82e+42	1.24e+42
56272.72	1.03e+42	3.29e+40	2.40e+42	7.47e+41
56273.72	9.45e+41	2.97e+40	2.17e+42	6.57e+41
56274.71	9.43e+41	2.79e+40	2.47e+42	1.11e+42
56275.67	8.30e+41	3.08e+40	1.82e+42	3.50e+41
56276.68	8.48e+41	2.81e+40	1.97e+42	4.51e+41
56277.67	8.18e+41	2.51e+40	1.97e+42	7.60e+41
56278.67	7.84e+41	2.64e+40	1.68e+42	4.54e+41
56279.67	7.54e+41	2.33e+40	1.82e+42	6.32e+41
56280.77	6.98e+41	2.28e+40	1.55e+42	4.22e+41
56281.71	6.94e+41	2.13e+40	1.66e+42	6.23e+41
56281.77	7.09e+41	2.16e+40	1.80e+42	7.11e+41
56282.67	7.09e+41	2.27e+40	1.65e+42	4.96e+41
56283.67	6.59e+41	2.56e+40	1.44e+42	2.20e+41
56284.67	5.91e+41	2.10e+40	1.23e+42	2.71e+41
56285.72	6.42e+41	2.85e+40	1.41e+42	2.27e+41
56286.72	6.14e+41	2.24e+40	1.36e+42	2.32e+41
56288.71	6.06e+41	2.18e+40	1.37e+42	2.70e+41
56290.67	5.82e+41	1.97e+40	1.36e+42	3.52e+41
56291.67	5.66e+41	2.17e+40	1.29e+42	2.54e+41
56295.72	5.41e+41	1.93e+40	1.44e+42	5.29e+41
56298.72	5.10e+41	2.13e+40	1.29e+42	4.03e+41
56299.68	5.04e+41	2.15e+40	1.28e+42	4.95e+41
56300.76	4.76e+41	2.01e+40	1.35e+42	6.56e+41
56300.77	4.93e+41	2.60e+40	1.14e+42	2.30e+41
56301.68	4.90e+41	2.21e+40	1.26e+42	5.04e+41
56308.63	4.56e+41	2.54e+40	1.22e+42	5.16e+41
