# ph	Lobs	err	L+BB	err	

50800.50	8.05e+41	9.83e+40	8.04e+41	9.93e+40
50820.30	3.20e+42	3.15e+41	3.21e+42	3.20e+41
50837.80	5.42e+42	4.20e+41	5.42e+42	4.32e+41
50845.90	6.29e+42	4.27e+41	6.29e+42	4.44e+41
50846.70	6.41e+42	4.29e+41	6.41e+42	4.46e+41
50894.70	9.84e+42	1.67e+41	9.76e+42	2.92e+41
50898.50	9.94e+42	1.54e+41	1.06e+43	9.93e+41
50899.80	9.50e+42	1.46e+41	1.03e+43	1.03e+42
50939.60	1.28e+42	2.98e+40	1.32e+42	5.70e+40
50960.50	1.09e+42	6.86e+40	1.11e+42	7.09e+40
50962.50	1.08e+42	7.22e+40	1.10e+42	7.43e+40
50991.50	8.76e+41	1.11e+41	8.92e+41	1.11e+41
51143.80	2.05e+41	5.02e+40	2.09e+41	5.03e+40
51200.70	1.07e+41	2.61e+40	1.10e+41	2.62e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN1998A_BVRIJHK.txt and logL-bb_SN1998A_BVRIJHK.txt for simple LC files
# Methodology:
# filters used:BVRIJHK
# redshift used:0.0072
# extinction used:0.1236
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
