# ph	Lobs	err	L+BB	err	

53276.17	7.29e+41	3.48e+40	2.21e+42	1.89e+41
53279.14	7.15e+41	3.84e+40	2.08e+42	3.74e+41
53281.13	7.89e+41	3.32e+40	1.92e+42	1.68e+41
53284.14	6.99e+41	3.43e+40	1.60e+42	2.74e+41
53287.10	7.36e+41	3.03e+40	1.56e+42	1.30e+41
53292.12	7.37e+41	2.96e+40	1.58e+42	2.89e+41
53302.17	6.26e+41	2.45e+40	1.30e+42	2.22e+41
53309.11	6.37e+41	2.40e+40	1.34e+42	2.87e+41
53310.18	6.55e+41	2.83e+40	1.36e+42	2.42e+41
53329.14	9.77e+41	3.87e+40	1.99e+42	5.33e+41
53334.14	1.12e+42	6.94e+40	2.30e+42	6.70e+41
53351.14	1.30e+42	4.94e+40	2.76e+42	6.12e+41
53352.11	1.32e+42	4.84e+40	2.80e+42	6.00e+41
53401.55	1.15e+42	1.35e+41	2.48e+42	3.16e+41
53406.54	9.40e+41	1.09e+41	2.08e+42	3.35e+41
53537.32	7.32e+40	3.13e+40	8.96e+41	1.54e+42
53538.37	6.88e+40	2.83e+40	8.73e+41	1.57e+42

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2004em_BVRI.txt and logL-bb_SN2004em_BVRI.txt for simple LC files
# Methodology:
# filters used:BVRI
# redshift used:0.014894
# extinction used:0.0961
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
