# ph	Lobs	err	L+BB	err	

53523.86	1.14e+40	1.19e+39	2.23e+40	8.79e+39
53531.81	4.07e+40	4.05e+39	7.95e+40	3.11e+40
53532.85	4.18e+40	4.16e+39	8.17e+40	3.19e+40
53533.83	4.14e+40	4.12e+39	8.09e+40	3.16e+40
53534.76	3.78e+40	3.75e+39	7.38e+40	2.89e+40
53535.18	4.21e+40	4.07e+39	8.27e+40	3.25e+40
53536.21	4.45e+40	4.12e+39	9.29e+40	3.49e+40
53536.80	4.85e+40	4.41e+39	1.02e+41	2.59e+40
53540.82	5.69e+40	4.52e+39	1.28e+41	2.26e+40
53544.26	6.63e+40	4.36e+39	1.53e+41	1.57e+40
53545.79	7.07e+40	5.11e+39	1.65e+41	5.45e+40
53546.28	7.66e+40	4.80e+39	1.83e+41	4.29e+40
53548.23	8.09e+40	5.04e+39	1.77e+41	4.49e+40
53549.78	9.20e+40	7.01e+39	2.02e+41	6.66e+40
53550.18	9.81e+40	6.48e+39	2.06e+41	6.45e+40
53552.34	1.08e+41	7.04e+39	2.41e+41	2.07e+40
53553.79	1.06e+41	8.19e+39	2.34e+41	5.83e+40
53554.41	1.17e+41	7.33e+39	2.77e+41	4.80e+40
53557.78	1.13e+41	8.32e+39	2.58e+41	5.42e+40
53560.26	1.29e+41	7.55e+39	3.03e+41	8.48e+40
53561.76	1.14e+41	8.45e+39	2.70e+41	1.19e+41
53562.18	1.21e+41	6.85e+39	2.94e+41	5.68e+40
53565.75	1.29e+41	9.26e+39	3.10e+41	1.13e+41
53567.68	1.29e+41	9.50e+39	2.96e+41	1.82e+41
53570.19	1.51e+41	8.54e+39	3.63e+41	1.13e+41
53573.30	1.54e+41	8.97e+39	3.94e+41	9.13e+40
53581.29	1.66e+41	9.50e+39	4.23e+41	1.51e+41
53587.24	1.73e+41	9.41e+39	4.77e+41	1.03e+41
53600.21	2.00e+41	1.11e+40	5.34e+41	1.54e+41
53602.18	2.09e+41	1.11e+40	6.31e+41	1.98e+41
53611.93	2.12e+41	1.14e+40	5.88e+41	1.22e+41
53614.24	2.15e+41	1.15e+40	6.21e+41	1.26e+41
53616.21	2.11e+41	1.15e+40	6.17e+41	1.09e+41
53623.23	2.03e+41	1.12e+40	6.19e+41	9.23e+40
53632.13	1.63e+41	9.07e+39	5.24e+41	8.88e+40
53643.11	1.09e+41	7.07e+39	3.08e+41	5.18e+40
53649.15	8.50e+40	5.40e+39	2.42e+41	5.23e+40
53653.11	7.11e+40	4.63e+39	2.61e+41	1.59e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2005ci_BVRI.txt and logL-bb_SN2005ci_BVRI.txt for simple LC files
# Methodology:
# filters used:BVRI
# redshift used:0.007581
# extinction used:0.0287
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
