# ph	Lobs	err	L+BB	err	

53771.17	6.85e+41	9.60e+39	7.88e+41	2.68e+40
53773.15	5.70e+41	7.74e+39	6.58e+41	2.04e+40
53773.71	6.39e+41	1.50e+40	7.43e+41	3.66e+40
53774.82	6.66e+41	1.56e+40	7.81e+41	3.41e+40
53775.67	6.92e+41	1.62e+40	8.19e+41	3.27e+40
53778.81	7.73e+41	1.92e+40	8.98e+41	4.15e+40
53786.88	9.42e+41	2.39e+40	1.11e+42	5.28e+40
53795.84	1.11e+42	2.85e+40	1.32e+42	6.66e+40
53799.75	1.20e+42	3.09e+40	1.42e+42	7.20e+40
53804.84	1.31e+42	3.36e+40	1.55e+42	7.51e+40
53805.79	1.33e+42	3.41e+40	1.57e+42	7.44e+40
53818.77	1.52e+42	3.92e+40	1.80e+42	7.98e+40
53824.73	1.57e+42	4.05e+40	1.86e+42	8.22e+40
53832.75	1.53e+42	3.94e+40	1.81e+42	8.16e+40
53838.75	1.41e+42	3.63e+40	1.67e+42	7.55e+40
53846.73	1.15e+42	2.87e+40	1.35e+42	6.20e+40
53853.64	8.58e+41	2.05e+40	1.00e+42	4.47e+40
53862.57	6.14e+41	1.44e+40	7.16e+41	3.45e+40
53867.57	5.56e+41	1.33e+40	6.51e+41	3.47e+40
53892.56	4.36e+41	1.48e+40	5.25e+41	3.79e+40
53898.56	4.12e+41	1.61e+40	5.04e+41	4.15e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2006V_uBgVriYJH.txt and logL-bb_SN2006V_uBgVriYJH.txt for simple LC files
# Methodology:
# filters used:uBgVriYJH
# redshift used:0.0158
# extinction used:0.029
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
