# ph	Lobs	err	L+BB	err	

58423.50	1.17e+41	3.40e+39	1.19e+41	3.49e+39
58426.50	1.25e+41	3.70e+39	1.27e+41	3.77e+39
58429.60	1.41e+41	4.09e+39	1.43e+41	4.16e+39
58432.50	1.56e+41	4.38e+39	1.59e+41	4.46e+39
58432.60	1.56e+41	4.39e+39	1.58e+41	4.47e+39
58440.50	2.00e+41	5.73e+39	2.04e+41	5.93e+39
58440.60	2.00e+41	5.77e+39	2.04e+41	5.94e+39
58443.40	2.15e+41	6.24e+39	2.19e+41	6.42e+39
58443.50	2.16e+41	6.27e+39	2.20e+41	6.45e+39
58447.40	2.54e+41	7.50e+39	2.58e+41	7.74e+39
58447.50	2.54e+41	7.52e+39	2.59e+41	7.76e+39
58471.60	4.56e+41	1.41e+40	4.65e+41	1.46e+40
58474.50	4.79e+41	1.47e+40	4.87e+41	1.51e+40
58476.50	4.93e+41	1.51e+40	5.01e+41	1.54e+40
58486.50	5.62e+41	1.70e+40	5.73e+41	1.77e+40
58491.60	5.90e+41	1.78e+40	6.03e+41	1.88e+40
58502.50	5.96e+41	1.81e+40	6.10e+41	1.97e+40
58502.60	5.95e+41	1.80e+40	6.09e+41	1.97e+40
58505.50	5.69e+41	1.69e+40	5.84e+41	1.91e+40
58508.50	5.26e+41	1.55e+40	5.40e+41	1.76e+40
58511.40	4.85e+41	1.40e+40	4.99e+41	1.61e+40
58514.40	4.29e+41	1.19e+40	4.40e+41	1.36e+40
58522.50	2.85e+41	7.44e+39	2.93e+41	8.54e+39
58526.50	2.51e+41	6.49e+39	2.60e+41	7.80e+39
58534.40	2.24e+41	5.88e+39	2.31e+41	6.91e+39
58538.40	2.16e+41	5.61e+39	2.22e+41	6.52e+39
58540.30	2.13e+41	5.52e+39	2.20e+41	6.70e+39
58543.30	2.07e+41	5.25e+39	2.14e+41	6.53e+39
58543.40	2.07e+41	5.24e+39	2.14e+41	6.49e+39
58556.20	1.78e+41	4.68e+39	1.83e+41	5.44e+39
58558.20	1.77e+41	4.62e+39	1.83e+41	5.71e+39
58559.30	1.73e+41	4.50e+39	1.78e+41	5.36e+39
58562.40	1.68e+41	4.39e+39	1.73e+41	5.47e+39
58567.27	1.63e+41	4.29e+39	1.68e+41	4.99e+39
58572.30	1.52e+41	4.02e+39	1.56e+41	4.66e+39
58574.20	1.50e+41	3.99e+39	1.54e+41	4.61e+39
58575.25	1.47e+41	3.96e+39	1.50e+41	4.41e+39
58575.40	1.46e+41	3.96e+39	1.50e+41	4.41e+39
58580.30	1.39e+41	3.78e+39	1.42e+41	4.24e+39
58583.30	1.35e+41	3.66e+39	1.39e+41	4.20e+39
58584.30	1.34e+41	3.61e+39	1.38e+41	4.19e+39
58586.25	1.31e+41	3.52e+39	1.34e+41	3.93e+39
58587.30	1.30e+41	3.48e+39	1.34e+41	3.96e+39
58589.25	1.28e+41	3.39e+39	1.31e+41	3.92e+39
58591.40	1.25e+41	3.35e+39	1.28e+41	3.80e+39
58592.25	1.24e+41	3.32e+39	1.27e+41	3.73e+39
58593.30	1.23e+41	3.29e+39	1.27e+41	3.88e+39
58594.25	1.22e+41	3.28e+39	1.25e+41	3.74e+39
58597.30	1.18e+41	3.22e+39	1.21e+41	3.56e+39
58599.20	1.16e+41	3.15e+39	1.18e+41	3.53e+39
58602.25	1.12e+41	3.05e+39	1.14e+41	3.42e+39
58606.20	1.08e+41	3.01e+39	1.11e+41	3.34e+39
58608.30	1.06e+41	2.96e+39	1.09e+41	3.28e+39
58612.25	1.02e+41	2.83e+39	1.04e+41	3.12e+39
58616.25	9.78e+40	2.74e+39	9.95e+40	2.92e+39
58618.20	9.58e+40	2.66e+39	9.78e+40	2.92e+39
58619.25	9.46e+40	2.64e+39	9.64e+40	2.86e+39
58628.25	8.92e+40	2.54e+39	9.10e+40	2.79e+39
58633.27	8.58e+40	2.48e+39	8.74e+40	2.67e+39
58637.20	8.19e+40	2.35e+39	8.36e+40	2.60e+39
58639.25	8.02e+40	2.34e+39	8.16e+40	2.50e+39
58640.20	7.93e+40	2.30e+39	8.07e+40	2.49e+39
58642.25	7.80e+40	2.27e+39	7.95e+40	2.48e+39
58643.20	7.72e+40	2.24e+39	7.88e+40	2.48e+39
58646.20	7.46e+40	2.20e+39	7.58e+40	2.35e+39
58648.20	7.35e+40	2.17e+39	7.47e+40	2.33e+39
58649.20	7.26e+40	2.16e+39	7.38e+40	2.30e+39
58651.25	7.11e+40	2.14e+39	7.22e+40	2.25e+39
58652.30	7.05e+40	2.10e+39	7.17e+40	2.26e+39
58654.25	6.93e+40	2.08e+39	7.04e+40	2.22e+39
58655.20	6.85e+40	2.05e+39	6.97e+40	2.21e+39
58661.20	6.47e+40	1.97e+39	6.58e+40	2.11e+39
58665.25	6.19e+40	1.91e+39	6.28e+40	2.02e+39
58667.20	6.08e+40	1.88e+39	6.17e+40	2.00e+39
58668.20	5.85e+40	1.08e+39	5.92e+40	1.16e+39
58670.25	5.79e+40	1.16e+39	5.86e+40	1.23e+39
58671.20	6.16e+40	1.31e+39	6.24e+40	1.39e+39
58673.20	5.73e+40	1.37e+39	5.80e+40	1.46e+39
58674.20	5.65e+40	1.45e+39	5.72e+40	1.55e+39
58676.20	5.57e+40	1.66e+39	5.65e+40	1.76e+39
58677.20	5.44e+40	1.74e+39	5.52e+40	1.83e+39
58679.20	5.52e+40	2.01e+39	5.62e+40	2.13e+39
58680.20	5.42e+40	2.10e+39	5.51e+40	2.21e+39
58682.20	5.25e+40	2.28e+39	5.36e+40	2.42e+39
58683.25	5.21e+40	2.42e+39	5.30e+40	2.51e+39
58684.25	5.02e+40	2.45e+39	5.11e+40	2.54e+39
58689.20	5.32e+40	3.27e+39	5.45e+40	3.38e+39
58690.20	4.88e+40	3.12e+39	4.99e+40	3.21e+39
58692.20	4.76e+40	3.29e+39	4.86e+40	3.37e+39
58694.20	4.77e+40	3.54e+39	4.88e+40	3.62e+39
58701.20	4.45e+40	4.12e+39	4.57e+40	4.19e+39
58705.20	4.27e+40	4.41e+39	4.39e+40	4.47e+39
58706.20	4.18e+40	4.42e+39	4.30e+40	4.48e+39
58707.20	4.18e+40	4.54e+39	4.30e+40	4.60e+39
58709.20	4.03e+40	4.59e+39	4.15e+40	4.65e+39
58726.10	3.41e+40	5.41e+39	3.52e+40	5.45e+39
58776.50	1.97e+40	5.70e+39	2.05e+40	5.71e+39
58785.50	1.71e+40	5.34e+39	1.78e+40	5.35e+39
58792.50	1.54e+40	4.90e+39	1.60e+40	4.90e+39
58799.50	1.46e+40	4.63e+39	1.52e+40	4.64e+39
58804.50	1.31e+40	4.17e+39	1.37e+40	4.18e+39
58812.60	1.20e+40	3.81e+39	1.25e+40	3.81e+39
58827.40	1.06e+40	3.37e+39	1.10e+40	3.37e+39
58828.40	9.83e+39	3.09e+39	1.02e+40	3.10e+39
58830.50	9.66e+39	3.04e+39	1.00e+40	3.04e+39
58831.40	9.10e+39	2.86e+39	9.38e+39	2.86e+39
58833.40	8.91e+39	2.82e+39	9.21e+39	2.82e+39
58833.50	9.47e+39	3.01e+39	9.79e+39	3.01e+39
58835.50	9.38e+39	2.96e+39	9.70e+39	2.97e+39
58836.50	9.04e+39	2.84e+39	9.40e+39	2.85e+39
58838.50	8.61e+39	2.70e+39	8.90e+39	2.70e+39
58846.50	7.82e+39	2.45e+39	8.13e+39	2.45e+39
58846.60	7.38e+39	2.30e+39	7.66e+39	2.30e+39
58849.40	7.50e+39	2.35e+39	7.80e+39	2.35e+39
58852.60	7.25e+39	2.27e+39	7.54e+39	2.27e+39
58855.60	6.90e+39	2.14e+39	7.16e+39	2.14e+39
58859.30	6.32e+39	1.94e+39	6.52e+39	1.95e+39
58859.40	6.04e+39	1.85e+39	6.25e+39	1.85e+39
58859.50	6.29e+39	1.93e+39	6.51e+39	1.93e+39
58860.30	6.82e+39	2.12e+39	7.06e+39	2.13e+39
58861.60	7.21e+39	2.25e+39	7.47e+39	2.25e+39
58862.40	6.01e+39	1.87e+39	6.23e+39	1.87e+39
58864.30	5.97e+39	1.85e+39	6.19e+39	1.85e+39
58866.50	5.70e+39	1.77e+39	5.91e+39	1.78e+39
58867.50	5.87e+39	1.83e+39	6.10e+39	1.83e+39
58871.50	5.48e+39	1.69e+39	5.67e+39	1.69e+39
58873.30	5.55e+39	1.72e+39	5.76e+39	1.73e+39
58873.50	5.35e+39	1.65e+39	5.55e+39	1.66e+39
58874.30	4.71e+39	1.43e+39	4.88e+39	1.44e+39
58875.30	4.89e+39	1.49e+39	5.06e+39	1.49e+39
58875.50	4.86e+39	1.48e+39	5.03e+39	1.49e+39
58876.30	5.11e+39	1.58e+39	5.30e+39	1.58e+39
58877.30	4.73e+39	1.45e+39	4.89e+39	1.45e+39
58877.50	4.99e+39	1.55e+39	5.18e+39	1.55e+39
58878.30	5.03e+39	1.54e+39	5.21e+39	1.54e+39
58878.40	5.12e+39	1.57e+39	5.30e+39	1.57e+39
58879.25	4.53e+39	1.34e+39	4.67e+39	1.35e+39
58879.40	4.99e+39	1.53e+39	5.16e+39	1.54e+39
58880.50	4.85e+39	1.50e+39	5.03e+39	1.50e+39
58881.30	4.78e+39	1.47e+39	4.96e+39	1.48e+39
58881.40	5.04e+39	1.56e+39	5.23e+39	1.56e+39
58881.50	5.14e+39	1.59e+39	5.33e+39	1.60e+39
58883.50	4.58e+39	1.40e+39	4.73e+39	1.41e+39
58884.50	4.89e+39	1.52e+39	5.06e+39	1.52e+39
58885.20	4.49e+39	1.39e+39	4.63e+39	1.39e+39
58885.50	4.54e+39	1.41e+39	4.71e+39	1.42e+39
58886.30	4.62e+39	1.42e+39	4.78e+39	1.43e+39
58886.50	4.46e+39	1.36e+39	4.61e+39	1.36e+39
58887.50	4.76e+39	1.43e+39	4.92e+39	1.44e+39
