# ph	Lobs	err	L+BB	err	

58387.97	1.75e+41	7.24e+40	5.02e+41	1.23e+41
58389.96	1.76e+41	7.21e+40	4.97e+41	1.05e+41
58390.03	1.76e+41	7.21e+40	4.97e+41	1.05e+41
58398.03	1.78e+41	7.25e+40	5.04e+41	7.57e+40
58413.64	1.83e+41	7.43e+40	5.80e+41	2.04e+41
58415.62	1.85e+41	7.50e+40	5.93e+41	2.18e+41
58415.63	1.85e+41	7.50e+40	5.93e+41	2.18e+41
58416.60	1.87e+41	7.59e+40	6.07e+41	2.33e+41
58416.63	1.87e+41	7.59e+40	6.07e+41	2.33e+41
58417.57	1.87e+41	7.61e+40	6.11e+41	2.31e+41
58419.64	1.90e+41	7.73e+40	6.31e+41	2.55e+41
58422.96	1.94e+41	7.87e+40	6.48e+41	2.63e+41
58423.01	1.94e+41	7.87e+40	6.48e+41	2.63e+41
58423.63	1.95e+41	7.91e+40	6.48e+41	2.56e+41
58425.90	1.99e+41	8.13e+40	6.66e+41	2.60e+41
58425.95	1.99e+41	8.13e+40	6.66e+41	2.60e+41
58427.63	2.04e+41	8.32e+40	6.86e+41	2.73e+41
58427.64	2.04e+41	8.32e+40	6.86e+41	2.73e+41
58427.93	2.04e+41	8.32e+40	6.82e+41	2.66e+41
58427.96	2.03e+41	8.29e+40	6.81e+41	2.57e+41
58429.96	2.05e+41	8.38e+40	6.95e+41	2.06e+41
58430.94	2.06e+41	8.43e+40	7.02e+41	1.81e+41
58431.63	2.08e+41	8.50e+40	7.10e+41	1.65e+41
58431.64	2.08e+41	8.50e+40	7.10e+41	1.65e+41
58432.94	2.10e+41	8.62e+40	7.22e+41	1.36e+41
58434.96	2.15e+41	8.82e+40	7.42e+41	1.17e+41
58435.62	2.17e+41	8.94e+40	7.58e+41	1.12e+41
58435.62	2.17e+41	8.94e+40	7.58e+41	1.12e+41
58437.58	2.25e+41	9.27e+40	7.86e+41	1.21e+41
58437.60	2.25e+41	9.27e+40	7.86e+41	1.21e+41
58437.60	2.25e+41	9.27e+40	7.86e+41	1.21e+41
58437.60	2.25e+41	9.27e+40	7.86e+41	1.21e+41
58437.62	2.25e+41	9.27e+40	7.86e+41	1.21e+41
58437.62	2.25e+41	9.27e+40	7.86e+41	1.21e+41
58437.63	2.25e+41	9.27e+40	7.86e+41	1.21e+41
58437.88	2.26e+41	9.27e+40	7.88e+41	1.18e+41
58437.94	2.26e+41	9.33e+40	7.92e+41	1.25e+41
58440.94	2.41e+41	9.91e+40	8.50e+41	1.40e+41
58441.57	2.45e+41	1.00e+41	8.61e+41	1.36e+41
58441.57	2.45e+41	1.00e+41	8.61e+41	1.36e+41
58441.59	2.45e+41	1.00e+41	8.61e+41	1.36e+41
58441.60	2.45e+41	1.00e+41	8.61e+41	1.36e+41
58441.85	2.47e+41	1.01e+41	8.75e+41	1.32e+41
