# ph	Lobs	err	L+BB	err	

58523.51	3.10e+41	1.33e+41	7.90e+41	4.64e+41
58524.94	3.07e+41	1.29e+41	7.87e+41	5.15e+41
58527.46	3.05e+41	1.26e+41	7.86e+41	4.91e+41
58527.48	3.05e+41	1.26e+41	7.86e+41	4.91e+41
58539.47	3.70e+41	1.29e+41	1.24e+42	2.52e+41
58539.48	3.70e+41	1.29e+41	1.24e+42	2.52e+41
58539.77	3.71e+41	1.29e+41	1.25e+42	2.73e+41
58539.80	3.71e+41	1.29e+41	1.25e+42	2.73e+41
58540.47	3.72e+41	1.29e+41	1.27e+42	2.95e+41
58543.44	3.70e+41	1.26e+41	1.29e+42	3.41e+41
58543.75	3.70e+41	1.29e+41	1.29e+42	3.39e+41
58551.43	3.58e+41	1.21e+41	1.17e+42	1.45e+41
58551.44	3.58e+41	1.21e+41	1.17e+42	1.45e+41
58555.41	3.70e+41	1.28e+41	1.21e+42	3.04e+41
58555.42	3.70e+41	1.28e+41	1.21e+42	3.04e+41
58555.43	3.72e+41	1.29e+41	1.21e+42	3.25e+41
58555.44	3.72e+41	1.29e+41	1.21e+42	3.25e+41
58557.73	3.94e+41	1.42e+41	1.33e+42	5.49e+41
58557.77	3.94e+41	1.42e+41	1.33e+42	5.49e+41
58559.39	4.17e+41	1.51e+41	1.44e+42	6.61e+41
58560.82	4.39e+41	1.59e+41	1.53e+42	7.61e+41
58564.47	4.76e+41	1.72e+41	1.81e+42	1.02e+42
58565.44	4.80e+41	1.69e+41	1.89e+42	1.11e+42
58565.46	4.80e+41	1.69e+41	1.89e+42	1.11e+42
58568.71	4.90e+41	1.67e+41	2.13e+42	1.30e+42
58568.77	4.90e+41	1.67e+41	2.13e+42	1.30e+42
58569.37	4.89e+41	1.65e+41	2.13e+42	1.25e+42
58569.38	4.89e+41	1.65e+41	2.13e+42	1.25e+42
58569.38	4.89e+41	1.65e+41	2.13e+42	1.25e+42
58569.39	4.89e+41	1.65e+41	2.13e+42	1.25e+42
58571.38	4.90e+41	1.62e+41	2.10e+42	1.05e+42
58571.39	4.90e+41	1.62e+41	2.10e+42	1.05e+42
58571.40	4.90e+41	1.62e+41	2.10e+42	1.05e+42
58571.41	4.90e+41	1.62e+41	2.10e+42	1.05e+42
58573.39	4.93e+41	1.61e+41	2.10e+42	9.71e+41
58573.72	4.94e+41	1.61e+41	2.09e+42	9.42e+41
58573.73	4.94e+41	1.61e+41	2.09e+42	9.42e+41
58575.37	4.95e+41	1.60e+41	2.13e+42	1.00e+42
58575.38	4.95e+41	1.60e+41	2.13e+42	1.00e+42
58575.39	4.95e+41	1.60e+41	2.13e+42	1.00e+42
58575.40	4.95e+41	1.60e+41	2.13e+42	1.00e+42
58576.38	4.96e+41	1.60e+41	2.17e+42	1.06e+42
58576.39	4.96e+41	1.60e+41	2.17e+42	1.06e+42
58576.40	4.94e+41	1.59e+41	2.16e+42	1.08e+42
