# ph	Lobs	err	L+BB	err	

59177.05	1.94e+41	8.14e+40	8.80e+41	8.00e+41
59179.99	2.01e+41	8.35e+40	8.45e+41	6.54e+41
59180.03	2.01e+41	8.34e+40	8.44e+41	6.54e+41
59182.03	2.05e+41	8.53e+40	7.32e+41	4.02e+41
59182.96	2.05e+41	8.56e+40	7.00e+41	3.42e+41
59185.01	2.08e+41	8.75e+40	6.21e+41	2.00e+41
59189.01	2.08e+41	8.92e+40	5.76e+41	1.15e+41
59189.04	2.08e+41	8.91e+40	5.76e+41	1.15e+41
59193.04	2.13e+41	9.19e+40	6.12e+41	1.08e+41
59194.04	2.14e+41	9.22e+40	6.24e+41	1.13e+41
59196.03	2.17e+41	9.37e+40	6.63e+41	1.33e+41
59197.01	2.18e+41	9.41e+40	6.78e+41	1.42e+41
59199.02	2.22e+41	9.57e+40	7.19e+41	1.67e+41
59201.02	2.28e+41	9.74e+40	7.52e+41	1.85e+41
59203.98	2.36e+41	9.98e+40	7.78e+41	1.94e+41
59204.04	2.36e+41	9.98e+40	7.78e+41	1.94e+41
59220.00	2.90e+41	1.15e+41	8.72e+41	1.67e+41
59220.03	2.90e+41	1.15e+41	8.72e+41	1.67e+41
59221.55	2.94e+41	1.17e+41	9.01e+41	1.83e+41
59221.56	2.94e+41	1.17e+41	9.01e+41	1.83e+41
59223.90	2.97e+41	1.19e+41	9.63e+41	2.32e+41
59223.96	2.97e+41	1.19e+41	9.63e+41	2.32e+41
59225.94	3.00e+41	1.20e+41	1.03e+42	2.87e+41
59229.61	3.11e+41	1.25e+41	1.10e+42	3.44e+41
59229.61	3.11e+41	1.25e+41	1.10e+42	3.44e+41
59229.62	3.11e+41	1.25e+41	1.10e+42	3.44e+41
59229.65	3.11e+41	1.25e+41	1.10e+42	3.44e+41
59229.93	3.13e+41	1.26e+41	1.12e+42	3.67e+41
59231.53	3.25e+41	1.32e+41	1.15e+42	4.67e+41
59231.92	3.25e+41	1.32e+41	1.15e+42	4.57e+41
59231.96	3.25e+41	1.32e+41	1.15e+42	4.57e+41
59232.57	3.26e+41	1.32e+41	1.16e+42	4.51e+41
59232.60	3.26e+41	1.32e+41	1.16e+42	4.51e+41
59248.92	3.56e+41	1.44e+41	1.34e+42	3.39e+41
59248.96	3.56e+41	1.44e+41	1.34e+42	3.39e+41
59249.66	3.58e+41	1.45e+41	1.37e+42	3.41e+41
59251.56	3.60e+41	1.45e+41	1.39e+42	3.42e+41
59251.56	3.60e+41	1.45e+41	1.39e+42	3.42e+41
59251.57	3.60e+41	1.45e+41	1.39e+42	3.42e+41
59251.58	3.60e+41	1.45e+41	1.39e+42	3.42e+41
59252.87	3.60e+41	1.45e+41	1.40e+42	3.53e+41
59252.99	3.60e+41	1.45e+41	1.40e+42	3.53e+41
59254.90	3.59e+41	1.45e+41	1.42e+42	3.70e+41
59255.46	3.60e+41	1.45e+41	1.44e+42	3.74e+41
59255.47	3.60e+41	1.45e+41	1.44e+42	3.74e+41
59256.87	3.62e+41	1.45e+41	1.46e+42	4.11e+41
59257.53	3.65e+41	1.46e+41	1.45e+42	4.38e+41
59257.54	3.65e+41	1.46e+41	1.45e+42	4.38e+41
59257.55	3.65e+41	1.46e+41	1.45e+42	4.38e+41
59258.84	3.61e+41	1.44e+41	1.45e+42	3.85e+41
59261.45	3.67e+41	1.45e+41	1.43e+42	4.24e+41
59261.46	3.67e+41	1.45e+41	1.43e+42	4.24e+41
59261.46	3.67e+41	1.45e+41	1.43e+42	4.24e+41
59262.84	3.64e+41	1.43e+41	1.42e+42	3.49e+41
59262.91	3.63e+41	1.42e+41	1.42e+42	3.56e+41
59264.87	3.64e+41	1.41e+41	1.38e+42	3.13e+41
59267.50	3.65e+41	1.41e+41	1.36e+42	2.82e+41
59267.50	3.65e+41	1.41e+41	1.36e+42	2.82e+41
59267.51	3.65e+41	1.41e+41	1.36e+42	2.82e+41
59267.52	3.65e+41	1.41e+41	1.36e+42	2.82e+41
59268.85	3.65e+41	1.41e+41	1.36e+42	2.82e+41
59268.93	3.65e+41	1.41e+41	1.36e+42	2.82e+41
59269.37	3.65e+41	1.41e+41	1.36e+42	2.82e+41
59269.38	3.65e+41	1.41e+41	1.36e+42	2.82e+41
59274.71	3.53e+41	1.38e+41	1.37e+42	3.77e+41
59274.86	3.52e+41	1.38e+41	1.38e+42	3.88e+41
59276.76	3.44e+41	1.36e+41	1.39e+42	4.61e+41
59276.87	3.44e+41	1.36e+41	1.39e+42	4.61e+41
59277.49	3.41e+41	1.35e+41	1.39e+42	4.94e+41
59277.50	3.41e+41	1.35e+41	1.39e+42	4.94e+41
59277.55	3.41e+41	1.35e+41	1.39e+42	4.94e+41
59278.91	3.35e+41	1.34e+41	1.42e+42	5.62e+41
59280.86	3.26e+41	1.31e+41	1.44e+42	6.54e+41
59290.82	2.87e+41	1.19e+41	1.18e+42	6.76e+41
59290.84	2.87e+41	1.19e+41	1.18e+42	6.76e+41
59291.38	2.81e+41	1.17e+41	1.16e+42	6.42e+41
59291.39	2.81e+41	1.17e+41	1.16e+42	6.42e+41
59293.45	2.69e+41	1.13e+41	1.11e+42	5.92e+41
59293.45	2.69e+41	1.13e+41	1.11e+42	5.92e+41
59293.46	2.69e+41	1.13e+41	1.11e+42	5.92e+41
59293.49	2.69e+41	1.13e+41	1.11e+42	5.91e+41
59295.77	2.50e+41	1.05e+41	1.03e+42	5.46e+41
59302.74	1.95e+41	8.61e+40	8.60e+41	4.57e+41
59302.83	1.94e+41	8.54e+40	8.45e+41	4.43e+41
59304.81	1.81e+41	8.15e+40	8.36e+41	4.58e+41
59304.85	1.81e+41	8.15e+40	8.36e+41	4.58e+41
59307.75	1.63e+41	7.67e+40	8.39e+41	4.90e+41
59307.78	1.63e+41	7.67e+40	8.39e+41	4.90e+41
59311.67	1.45e+41	7.13e+40	7.38e+41	4.09e+41
59313.71	1.39e+41	7.00e+40	6.92e+41	3.67e+41
59313.75	1.39e+41	7.00e+40	6.92e+41	3.67e+41
59315.75	1.33e+41	6.87e+40	6.36e+41	3.18e+41
59322.77	1.21e+41	6.88e+40	5.20e+41	2.23e+41
59329.73	1.16e+41	7.22e+40	4.45e+41	1.58e+41
59335.71	1.11e+41	7.46e+40	3.85e+41	1.20e+41
59338.74	1.07e+41	7.44e+40	3.49e+41	1.03e+41
59342.78	1.02e+41	7.38e+40	3.12e+41	8.94e+40
59344.76	9.85e+40	7.30e+40	2.96e+41	8.52e+40
59348.69	9.14e+40	7.08e+40	2.66e+41	7.81e+40
59353.68	8.45e+40	6.95e+40	2.42e+41	7.43e+40
59367.72	7.07e+40	6.88e+40	2.05e+41	7.18e+40
59371.69	6.86e+40	6.99e+40	2.00e+41	7.26e+40
59371.73	6.86e+40	6.99e+40	2.00e+41	7.26e+40
59375.73	6.80e+40	7.23e+40	1.98e+41	7.47e+40
59379.71	6.80e+40	7.53e+40	1.98e+41	7.78e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2020abah_gcro.txt and logL-bb_SN2020abah_gcro.txt for simple LC files
# Methodology:
# filters used:gcro
# redshift used:0.030049
# extinction used:0.021
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
