# ph	Lobs	err	L+BB	err	

59496.00	4.93e+41	3.01e+40	3.03e+42	1.59e+42
59498.10	5.40e+41	3.10e+40	2.35e+42	1.05e+42
59499.00	5.38e+41	3.11e+40	2.06e+42	8.19e+41
59501.00	5.39e+41	2.99e+40	1.72e+42	5.93e+41
59501.90	5.39e+41	3.00e+40	1.65e+42	6.45e+41
59501.90	5.34e+41	3.35e+40	1.42e+42	3.72e+41
59504.90	5.50e+41	2.93e+40	1.41e+42	2.29e+41
59509.10	5.13e+41	2.63e+40	1.17e+42	1.91e+41
59511.60	4.62e+41	2.16e+40	1.08e+42	2.64e+41
59511.90	4.60e+41	2.33e+40	1.02e+42	1.41e+41
59512.80	4.49e+41	2.22e+40	9.92e+41	2.00e+41
59514.90	4.31e+41	1.99e+40	9.76e+41	2.25e+41
59515.10	4.11e+41	1.89e+40	9.32e+41	1.92e+41
59515.90	3.97e+41	1.90e+40	8.99e+41	1.41e+41
59516.90	3.96e+41	1.82e+40	8.83e+41	1.72e+41
59517.90	3.82e+41	1.76e+40	8.61e+41	1.94e+41
59518.00	3.90e+41	1.76e+40	8.73e+41	1.85e+41
59518.90	3.78e+41	1.76e+40	8.37e+41	2.47e+41
59521.90	3.80e+41	1.72e+40	8.50e+41	1.65e+41
59527.20	3.55e+41	1.55e+40	8.04e+41	1.89e+41
59532.00	3.46e+41	1.53e+40	7.91e+41	1.93e+41
59538.80	3.82e+41	1.73e+40	8.77e+41	1.59e+41
59539.80	3.73e+41	1.87e+40	8.46e+41	1.31e+41
59549.90	4.63e+41	2.07e+40	1.05e+42	2.29e+41
59555.80	5.19e+41	2.40e+40	1.16e+42	2.50e+41
59562.80	5.88e+41	2.96e+40	1.30e+42	2.23e+41
59565.80	6.34e+41	5.31e+40	1.38e+42	2.46e+41
59569.10	6.60e+41	3.03e+40	1.48e+42	2.76e+41
59576.80	7.24e+41	3.27e+40	1.64e+42	3.19e+41
59583.10	7.17e+41	3.20e+40	1.63e+42	3.66e+41
59585.80	7.06e+41	3.28e+40	1.58e+42	2.79e+41
59586.70	7.26e+41	3.31e+40	1.64e+42	2.99e+41
59590.90	7.13e+41	3.49e+40	1.59e+42	2.75e+41
59591.70	6.84e+41	3.34e+40	1.52e+42	3.03e+41
59593.70	6.67e+41	3.30e+40	1.49e+42	3.01e+41
59594.70	6.27e+41	2.93e+40	1.40e+42	2.06e+41
59597.70	5.85e+41	2.66e+40	1.31e+42	2.66e+41
59598.80	5.72e+41	2.67e+40	1.30e+42	2.51e+41
59603.70	4.77e+41	2.06e+40	1.12e+42	3.34e+41
59605.10	4.45e+41	1.99e+40	1.04e+42	3.60e+41
59609.10	3.64e+41	1.59e+40	8.71e+41	2.52e+41
59731.20	9.70e+40	4.29e+39	2.06e+41	7.71e+40
59741.10	9.16e+40	4.13e+39	1.97e+41	6.82e+40
59749.40	8.73e+40	4.12e+39	1.88e+41	7.40e+40
59765.30	7.85e+40	3.44e+39	1.78e+41	5.70e+40
59785.20	6.34e+40	2.92e+39	1.35e+41	4.78e+40
59792.70	6.12e+40	2.79e+39	1.30e+41	4.87e+40
59800.70	6.02e+40	2.82e+39	1.25e+41	4.83e+40
59813.30	5.89e+40	2.71e+39	1.24e+41	4.55e+40
59846.70	4.44e+40	1.98e+39	1.02e+41	3.37e+40
59850.40	4.32e+40	1.93e+39	9.68e+40	2.95e+40
59865.30	3.74e+40	2.28e+39	8.18e+40	2.67e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2021aatd_BgVri.txt and logL-bb_SN2021aatd_BgVri.txt for simple LC files
# Methodology:
# filters used:BgVri
# redshift used:0.01524
# extinction used:0.025
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
