# ph	Lobs	err	L+BB	err	

59300.96	9.45e+40	9.33e+39	2.34e+41	1.19e+41
59303.94	9.86e+40	1.01e+40	2.44e+41	1.23e+41
59307.00	9.52e+40	7.43e+39	2.58e+41	1.92e+41
59307.93	9.87e+40	9.34e+39	2.46e+41	1.34e+41
59309.92	1.00e+41	9.50e+39	2.50e+41	1.33e+41
59309.94	9.90e+40	9.35e+39	2.49e+41	1.37e+41
59309.98	1.06e+41	8.18e+39	2.80e+41	2.44e+41
59312.90	1.02e+41	8.82e+39	2.63e+41	1.45e+41
59312.92	1.03e+41	9.95e+39	2.59e+41	1.14e+41
59316.87	1.02e+41	9.95e+39	2.56e+41	9.69e+40
59316.90	1.02e+41	1.00e+40	2.57e+41	9.48e+40
59319.89	1.00e+41	9.80e+39	2.55e+41	8.38e+40
59319.93	1.03e+41	1.01e+40	2.60e+41	7.31e+40
59322.78	9.96e+40	9.63e+39	2.59e+41	1.09e+41
59322.92	9.52e+40	9.05e+39	2.54e+41	9.92e+40
59323.94	9.38e+40	8.92e+39	2.45e+41	1.03e+41
59324.84	8.87e+40	8.99e+39	2.43e+41	2.89e+40
59328.81	9.67e+40	8.92e+39	2.82e+41	1.53e+41
59328.90	9.35e+40	8.88e+39	2.76e+41	1.08e+41
59336.89	9.00e+40	7.69e+39	3.10e+41	1.10e+41
59338.86	9.95e+40	9.46e+39	3.31e+41	1.76e+41
59338.92	9.87e+40	9.38e+39	3.36e+41	1.90e+41
59339.84	1.06e+41	7.39e+39	4.27e+41	4.67e+41
59341.90	1.05e+41	9.75e+39	3.38e+41	1.95e+41
59341.91	1.04e+41	7.79e+39	3.81e+41	2.75e+41
59342.88	1.09e+41	1.01e+40	3.44e+41	1.75e+41
59344.90	1.14e+41	8.35e+39	4.04e+41	3.31e+41
59345.90	1.14e+41	1.05e+40	3.66e+41	2.16e+41
59346.91	1.23e+41	8.82e+39	4.25e+41	3.87e+41
59348.88	1.28e+41	1.21e+40	3.59e+41	1.56e+41
59349.82	1.26e+41	9.54e+39	3.99e+41	2.61e+41
59352.88	1.37e+41	1.30e+40	3.96e+41	1.84e+41
59353.83	1.28e+41	1.05e+40	3.78e+41	1.47e+41
59356.83	1.43e+41	1.34e+40	3.88e+41	2.42e+41
59356.86	1.56e+41	1.17e+40	4.57e+41	4.76e+41
59359.86	1.51e+41	1.39e+40	4.37e+41	2.69e+41
59359.90	1.60e+41	1.48e+40	4.27e+41	3.46e+41
59361.95	1.51e+41	1.37e+40	4.15e+41	2.86e+41
59362.79	1.42e+41	1.04e+40	4.56e+41	3.87e+41
59362.86	1.52e+41	1.38e+40	4.36e+41	2.94e+41
59364.81	1.49e+41	1.01e+40	5.09e+41	5.82e+41
59365.82	1.50e+41	1.36e+40	4.22e+41	3.25e+41
59365.88	1.55e+41	1.42e+40	4.70e+41	3.17e+41
59366.88	1.51e+41	9.88e+39	5.42e+41	6.83e+41
