# ph	Lobs	err	L+BB	err	

59390.79	1.63e+41	5.53e+40	3.83e+41	1.48e+41
59392.81	1.63e+41	5.45e+40	3.86e+41	1.53e+41
59392.84	1.63e+41	5.45e+40	3.86e+41	1.53e+41
59394.84	1.66e+41	5.57e+40	3.83e+41	1.60e+41
59396.73	1.72e+41	5.76e+40	3.90e+41	1.72e+41
59397.75	1.77e+41	5.94e+40	4.00e+41	1.83e+41
59399.73	1.92e+41	6.45e+40	4.34e+41	2.15e+41
59399.77	1.92e+41	6.44e+40	4.34e+41	2.15e+41
59401.77	2.12e+41	7.07e+40	4.79e+41	2.41e+41
59402.83	2.26e+41	7.51e+40	5.11e+41	2.57e+41
59403.81	2.37e+41	7.85e+40	5.36e+41	2.66e+41
59404.71	2.51e+41	8.27e+40	5.71e+41	2.91e+41
59404.83	2.51e+41	8.27e+40	5.74e+41	2.89e+41
59405.34	2.61e+41	8.57e+40	5.94e+41	3.00e+41
59407.69	2.92e+41	9.09e+40	6.79e+41	3.28e+41
59407.71	2.92e+41	9.09e+40	6.79e+41	3.28e+41
59407.75	2.92e+41	9.09e+40	6.79e+41	3.28e+41
59409.34	3.16e+41	9.53e+40	7.42e+41	3.43e+41
59411.71	3.50e+41	1.02e+41	8.39e+41	3.70e+41
59411.79	3.53e+41	1.02e+41	8.45e+41	3.75e+41
59413.32	3.73e+41	1.06e+41	9.03e+41	3.89e+41
59414.73	3.91e+41	1.10e+41	9.53e+41	4.09e+41
59415.32	3.98e+41	1.12e+41	9.75e+41	4.20e+41
59415.71	4.01e+41	1.13e+41	9.83e+41	4.28e+41
59417.36	4.20e+41	1.18e+41	1.03e+42	4.84e+41
59419.33	4.40e+41	1.24e+41	1.08e+42	5.70e+41
59419.75	4.44e+41	1.27e+41	1.10e+42	5.88e+41
59422.82	4.65e+41	1.35e+41	1.16e+42	6.97e+41
59423.72	4.70e+41	1.37e+41	1.19e+42	7.28e+41
59423.76	4.71e+41	1.37e+41	1.19e+42	7.31e+41
59425.35	4.83e+41	1.43e+41	1.23e+42	7.46e+41
59425.73	4.84e+41	1.43e+41	1.24e+42	7.39e+41
59425.77	4.84e+41	1.43e+41	1.24e+42	7.39e+41
59427.69	4.94e+41	1.48e+41	1.28e+42	7.31e+41
59427.73	4.95e+41	1.48e+41	1.29e+42	7.35e+41
59429.35	5.02e+41	1.52e+41	1.31e+42	7.09e+41
59429.75	5.04e+41	1.53e+41	1.32e+42	7.05e+41
59430.68	5.09e+41	1.56e+41	1.33e+42	6.96e+41
59431.34	5.12e+41	1.57e+41	1.34e+42	6.92e+41
59433.36	5.20e+41	1.61e+41	1.36e+42	6.71e+41
59434.71	5.25e+41	1.64e+41	1.36e+42	6.46e+41
59435.33	5.27e+41	1.65e+41	1.36e+42	6.40e+41
59435.68	5.29e+41	1.65e+41	1.37e+42	6.37e+41
59436.71	5.33e+41	1.67e+41	1.37e+42	6.22e+41
59436.74	5.33e+41	1.67e+41	1.37e+42	6.22e+41
59437.30	5.36e+41	1.68e+41	1.37e+42	6.21e+41
59439.27	5.45e+41	1.71e+41	1.38e+42	6.48e+41
59439.68	5.46e+41	1.71e+41	1.38e+42	6.53e+41
59441.32	5.57e+41	1.75e+41	1.40e+42	6.94e+41
59441.67	5.58e+41	1.75e+41	1.41e+42	7.05e+41
59443.32	5.69e+41	1.78e+41	1.42e+42	7.45e+41
59443.76	5.71e+41	1.78e+41	1.42e+42	7.48e+41
59445.26	5.78e+41	1.82e+41	1.44e+42	7.85e+41
59447.29	5.86e+41	1.85e+41	1.46e+42	8.26e+41
