# ph	Lobs	err	L+BB	err	

59223.47	9.50e+41	2.04e+41	9.05e+42	1.15e+43
59225.39	1.61e+42	3.43e+41	3.72e+43	6.67e+43
59225.44	1.62e+42	3.51e+41	2.38e+43	4.03e+43
59228.30	2.84e+42	6.59e+41	2.57e+43	2.33e+43
59228.51	2.92e+42	6.78e+41	2.73e+43	2.64e+43
59228.56	2.92e+42	6.78e+41	2.64e+43	2.39e+43
59229.61	3.20e+42	7.41e+41	2.76e+43	2.10e+43
59229.61	3.20e+42	7.41e+41	2.76e+43	2.10e+43
59229.62	3.20e+42	7.41e+41	2.76e+43	2.10e+43
59229.63	3.20e+42	7.41e+41	2.76e+43	2.10e+43
59230.68	3.29e+42	7.38e+41	2.40e+43	1.01e+43
59231.36	3.33e+42	7.33e+41	2.31e+43	5.31e+42
59231.51	3.33e+42	7.32e+41	2.26e+43	4.84e+42
59231.51	3.33e+42	7.32e+41	2.26e+43	4.84e+42
59231.51	3.33e+42	7.32e+41	2.26e+43	4.84e+42
59231.52	3.33e+42	7.32e+41	2.26e+43	4.84e+42
59232.56	3.32e+42	7.13e+41	2.16e+43	1.15e+43
59235.52	3.28e+42	6.83e+41	1.61e+43	1.14e+43
59235.52	3.28e+42	6.83e+41	1.61e+43	1.14e+43
59235.53	3.28e+42	6.83e+41	1.61e+43	1.14e+43
59235.54	3.28e+42	6.83e+41	1.61e+43	1.14e+43
59237.61	3.22e+42	6.70e+41	1.37e+43	8.67e+42
59237.61	3.22e+42	6.70e+41	1.37e+43	8.67e+42
59248.36	2.63e+42	5.53e+41	7.56e+42	1.54e+42
59249.52	2.55e+42	5.37e+41	7.24e+42	1.58e+42
59249.54	2.55e+42	5.37e+41	7.24e+42	1.58e+42
59249.64	2.54e+42	5.37e+41	7.20e+42	1.60e+42
59249.64	2.54e+42	5.37e+41	7.20e+42	1.60e+42
59249.66	2.54e+42	5.37e+41	7.20e+42	1.60e+42
59249.67	2.54e+42	5.37e+41	7.20e+42	1.60e+42
59251.19	2.45e+42	5.26e+41	6.77e+42	1.23e+42
59251.55	2.43e+42	5.23e+41	6.68e+42	1.22e+42
59251.55	2.43e+42	5.23e+41	6.68e+42	1.22e+42
59251.56	2.42e+42	5.23e+41	6.65e+42	1.12e+42
59251.57	2.42e+42	5.23e+41	6.65e+42	1.12e+42
59251.90	2.41e+42	5.20e+41	6.57e+42	1.03e+42
59253.50	2.33e+42	5.08e+41	6.25e+42	1.03e+42
59253.50	2.33e+42	5.08e+41	6.25e+42	1.03e+42
59253.50	2.33e+42	5.08e+41	6.25e+42	1.03e+42
59253.52	2.33e+42	5.08e+41	6.25e+42	1.03e+42
59253.52	2.33e+42	5.08e+41	6.25e+42	1.03e+42
59253.54	2.33e+42	5.08e+41	6.25e+42	1.03e+42
59255.17	2.24e+42	4.93e+41	5.87e+42	9.52e+41
59255.46	2.23e+42	4.91e+41	5.85e+42	1.02e+42
59255.46	2.23e+42	4.91e+41	5.85e+42	1.02e+42
59255.47	2.23e+42	4.91e+41	5.85e+42	1.02e+42
59255.47	2.23e+42	4.91e+41	5.85e+42	1.02e+42
59256.14	2.18e+42	4.83e+41	5.69e+42	9.03e+41
59257.08	2.12e+42	4.75e+41	5.45e+42	7.34e+41
59257.27	2.11e+42	4.70e+41	5.40e+42	7.27e+41
59257.53	2.09e+42	4.68e+41	5.34e+42	6.88e+41
59257.54	2.09e+42	4.68e+41	5.34e+42	6.88e+41
59257.55	2.09e+42	4.68e+41	5.34e+42	6.88e+41
