# ph	Lobs	err	L+BB	err	

51305.00	2.13e+42	7.55e+40	3.69e+42	6.30e+41
51308.10	1.86e+42	6.69e+40	3.58e+42	9.56e+41
51309.00	1.82e+42	6.59e+40	3.43e+42	8.14e+41
51313.00	1.58e+42	5.80e+40	3.43e+42	1.17e+42
51317.00	1.43e+42	5.38e+40	3.27e+42	1.23e+42
51319.00	1.34e+42	5.04e+40	3.36e+42	1.47e+42
51321.00	1.29e+42	4.83e+40	3.13e+42	1.29e+42
51322.00	1.27e+42	4.86e+40	3.01e+42	1.17e+42
51327.00	1.14e+42	4.36e+40	3.07e+42	1.46e+42
51329.00	1.11e+42	4.27e+40	3.13e+42	1.61e+42
51331.00	1.08e+42	4.14e+40	2.87e+42	1.33e+42
51335.00	1.02e+42	3.93e+40	2.83e+42	1.45e+42
51340.00	9.30e+41	3.63e+40	2.77e+42	1.52e+42
51345.00	8.78e+41	3.43e+40	2.55e+42	1.39e+42
51351.00	8.08e+41	3.20e+40	2.20e+42	1.16e+42
51355.00	7.18e+41	2.85e+40	1.90e+42	9.76e+41
51464.40	4.28e+40	1.98e+39	9.51e+40	2.29e+40
51478.40	3.16e+40	1.46e+39	7.41e+40	1.28e+40
51481.30	2.70e+40	1.33e+39	6.56e+40	1.58e+40
51484.40	2.63e+40	1.27e+39	6.49e+40	1.88e+40
51488.30	2.41e+40	1.13e+39	5.67e+40	1.25e+40
51493.40	2.25e+40	9.74e+38	5.93e+40	1.30e+40
51499.40	2.11e+40	1.05e+39	4.84e+40	1.30e+40
51506.40	2.00e+40	1.16e+39	4.37e+40	1.26e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_sn1999ca_UBVRIz.txt and logL-bb_sn1999ca_UBVRIz.txt for simple LC files
# Methodology:
# filters used:UBVRIz
# redshift used:0.01037
# extinction used:0.109
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
