# ph	Lobs	err	L+BB	err	

51481.30	7.60e+41	2.40e+40	1.82e+42	3.02e+41
51483.20	7.88e+41	2.46e+40	1.81e+42	2.60e+41
51484.30	7.77e+41	2.41e+40	1.69e+42	2.14e+41
51485.30	7.62e+41	2.36e+40	1.60e+42	1.97e+41
51486.30	7.44e+41	2.29e+40	1.50e+42	1.56e+41
51487.30	7.28e+41	2.24e+40	1.40e+42	1.35e+41
51488.30	7.12e+41	2.18e+40	1.35e+42	1.16e+41
51489.30	6.79e+41	2.08e+40	1.26e+42	1.16e+41
51490.30	6.90e+41	2.11e+40	1.25e+42	8.67e+40
51492.30	6.69e+41	2.06e+40	1.15e+42	7.64e+40
51493.20	6.57e+41	2.04e+40	1.11e+42	8.51e+40
51495.20	6.21e+41	1.98e+40	1.02e+42	9.82e+40
51498.10	5.84e+41	1.95e+40	9.40e+41	1.13e+41
51498.30	5.45e+41	1.79e+40	8.82e+41	1.12e+41
51499.30	5.36e+41	1.78e+40	8.69e+41	1.15e+41
51500.20	5.39e+41	1.83e+40	8.72e+41	1.21e+41
51501.20	5.39e+41	1.86e+40	8.79e+41	1.35e+41
51502.20	5.45e+41	1.92e+40	8.89e+41	1.30e+41
51504.20	5.24e+41	1.87e+40	8.67e+41	1.49e+41
51506.30	5.01e+41	1.81e+40	8.41e+41	1.47e+41
51508.30	4.90e+41	1.79e+40	8.32e+41	1.61e+41
51509.40	4.85e+41	1.79e+40	8.32e+41	1.58e+41
51511.40	4.83e+41	1.79e+40	8.45e+41	1.81e+41
51522.20	4.57e+41	1.81e+40	8.91e+41	2.53e+41
51531.30	4.62e+41	1.86e+40	9.96e+41	3.96e+41
51538.10	4.50e+41	1.86e+40	1.04e+42	4.63e+41
51540.00	4.42e+41	1.83e+40	1.04e+42	4.77e+41
51546.00	4.38e+41	1.83e+40	1.08e+42	5.47e+41
51550.00	4.39e+41	1.85e+40	1.12e+42	5.93e+41
51551.10	4.40e+41	1.86e+40	1.13e+42	6.06e+41
51556.10	4.28e+41	1.81e+40	1.08e+42	5.81e+41
51578.10	3.18e+41	1.37e+40	9.45e+41	6.68e+41
51607.10	7.56e+40	3.73e+39	2.45e+41	5.85e+40
51636.00	5.73e+40	2.68e+39	2.85e+41	2.35e+41
51666.00	4.66e+40	4.32e+39	1.60e+41	9.39e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_sn1999em_UBVRIz.txt and logL-bb_sn1999em_UBVRIz.txt for simple LC files
# Methodology:
# filters used:UBVRIz
# redshift used:0.00223
# extinction used:0.04
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
