# ph	Lobs	err	L+BB	err	

52645.20	2.12e+41	7.97e+39	4.00e+41	1.02e+41
52648.20	2.03e+41	7.82e+39	4.01e+41	1.27e+41
52649.20	2.00e+41	7.73e+39	4.01e+41	1.33e+41
52665.10	1.75e+41	7.32e+39	4.26e+41	2.22e+41
52668.10	1.73e+41	7.26e+39	4.37e+41	2.35e+41
52671.10	1.69e+41	7.20e+39	4.35e+41	2.42e+41
52672.10	1.67e+41	7.07e+39	4.45e+41	2.78e+41
52680.10	1.59e+41	6.86e+39	4.33e+41	2.74e+41
52694.10	1.40e+41	6.04e+39	4.01e+41	2.80e+41
52700.00	1.23e+41	4.17e+39	3.66e+41	2.60e+41
52701.00	1.23e+41	4.42e+39	3.56e+41	2.55e+41
52734.00	2.51e+40	2.22e+39	1.13e+41	4.44e+40
52797.40	1.25e+40	3.49e+39	4.13e+40	7.44e+39
52846.40	7.05e+39	2.52e+39	1.90e+40	3.98e+39
52848.40	7.85e+39	3.20e+39	1.82e+40	4.33e+39
52906.30	4.72e+39	1.95e+39	1.05e+40	2.69e+39

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_sn2003b_UBVRI.txt and logL-bb_sn2003b_UBVRI.txt for simple LC files
# Methodology:
# filters used:UBVRI
# redshift used:0.00369
# extinction used:0.027
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
