# ph	Lobs	err	L+BB	err	

52879.40	9.21e+41	3.37e+40	1.67e+42	9.18e+40
52888.40	6.97e+41	2.54e+40	1.27e+42	1.55e+41
52890.40	6.58e+41	2.41e+40	1.24e+42	1.90e+41
52902.30	4.90e+41	1.89e+40	1.21e+42	4.16e+41
52905.40	4.64e+41	1.80e+40	1.23e+42	4.71e+41
52908.30	4.44e+41	1.75e+40	1.25e+42	5.23e+41
52908.40	4.45e+41	1.75e+40	1.26e+42	5.41e+41
52914.40	4.10e+41	1.63e+40	1.30e+42	6.32e+41
52915.40	4.05e+41	1.62e+40	1.29e+42	6.20e+41
52928.30	3.61e+41	1.48e+40	1.43e+42	8.63e+41
52929.30	3.58e+41	1.47e+40	1.44e+42	8.83e+41
52951.30	2.55e+41	1.10e+40	1.37e+42	1.01e+42
52953.30	2.44e+41	1.06e+40	1.35e+42	9.98e+41
52959.10	1.89e+41	8.43e+39	1.37e+42	1.16e+42
52966.30	7.57e+40	3.66e+39	4.83e+41	3.19e+41
52967.30	6.66e+40	3.26e+39	4.45e+41	2.78e+41
52987.30	4.10e+40	2.07e+39	2.07e+41	1.18e+41
52989.20	4.00e+40	2.02e+39	1.91e+41	1.05e+41
52995.20	3.76e+40	1.87e+39	1.73e+41	1.00e+41
52996.00	3.70e+40	1.84e+39	1.69e+41	9.62e+40
53000.10	3.49e+40	1.74e+39	1.53e+41	8.54e+40
53001.10	3.46e+40	1.72e+39	1.53e+41	8.30e+40
53018.20	2.86e+40	1.43e+39	1.15e+41	5.90e+40
53040.20	2.36e+40	2.58e+39	1.06e+41	5.97e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_sn2003hn_UBVRI.txt and logL-bb_sn2003hn_UBVRI.txt for simple LC files
# Methodology:
# filters used:UBVRI
# redshift used:0.00368
# extinction used:0.014
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
