SN_n	t_explosion	z_red	E_BV
SN1987A	46849.8	0.000900	0.1935
SN1998A	50801.0	0.007200	0.1236
SN2000cb	51656.0	0.006400	0.114
SN2004ek	53250.5	0.017275	0.1709
SN2004em	53263.3	0.014894	0.0961
SN2005ci	53523.7	0.007581	0.0287
SN2006V	53748.0	0.015800	0.029
SN2006au	53794.0	0.009900	0.313
SN2009E	54832.5	0.006328	0.04
SN2009mw	55174.5	0.014300	0.054
PTF12gcx	56085.7	0.045041	0.0452
PTF12kso	56176.0	0.030000	0.0594
OGLE14-73	56861.1	0.122500	0.0548
SNRefsdal	56968.9	1.491000	0.1
DES16C3cje	57670.2	0.061800	0.17
SN2018cub	58216.3	0.044000	0.0152
SN2018lrq	58220.3	0.025000	0.01
SN2018ego	58248.3	0.037493	0.0465
SN2018imj	58380.0	0.013159	0.2023
SN2018hna	58411.3	0.002408	0.009
SN2019bsw	58482.7	0.029494	0.0452
SN2020faa	58926.0	0.041060	0.022
SN2020oem	58982.8	0.042362	0.0448
SN2020abah	59175.5	0.030049	0.021
SN2021zj	59224.4	0.046000	0.0123
SN2021mju	59287.5	0.028325	0.0677
SN2021skm	59389.4	0.031461	0.0716
SN2021wun	59425.2	0.022773	0.0413
SN2021aatd	59493.5	0.015240	0.025
