ID;Radius;Mass;Energy;Nichel
1;1.0;10.0;0.50;0.010
2;1.0;10.0;0.50;0.020
3;1.0;10.0;0.50;0.030
4;1.0;10.0;0.50;0.040
5;1.0;10.0;0.50;0.050
6;1.0;10.0;0.50;0.060
7;1.0;10.0;0.50;0.070
8;1.0;10.0;0.50;0.080
9;1.0;10.0;0.50;0.090
10;1.0;10.0;0.50;0.100
11;3.0;10.0;0.50;0.010
12;3.0;10.0;0.50;0.020
13;3.0;10.0;0.50;0.030
14;3.0;10.0;0.50;0.040
15;3.0;10.0;0.50;0.050
16;3.0;10.0;0.50;0.060
17;3.0;10.0;0.50;0.070
18;3.0;10.0;0.50;0.080
19;3.0;10.0;0.50;0.090
20;3.0;10.0;0.50;0.100
21;5.0;10.0;0.50;0.010
22;5.0;10.0;0.50;0.020
23;5.0;10.0;0.50;0.030
24;5.0;10.0;0.50;0.040
25;5.0;10.0;0.50;0.050
26;5.0;10.0;0.50;0.060
27;5.0;10.0;0.50;0.070
28;5.0;10.0;0.50;0.080
29;5.0;10.0;0.50;0.090
30;5.0;10.0;0.50;0.100
31;7.0;10.0;0.50;0.010
32;7.0;10.0;0.50;0.020
33;7.0;10.0;0.50;0.030
34;7.0;10.0;0.50;0.040
35;7.0;10.0;0.50;0.050
36;7.0;10.0;0.50;0.060
37;7.0;10.0;0.50;0.070
38;7.0;10.0;0.50;0.080
39;7.0;10.0;0.50;0.090
40;7.0;10.0;0.50;0.100
41;9.0;10.0;0.50;0.010
42;9.0;10.0;0.50;0.020
43;9.0;10.0;0.50;0.030
44;9.0;10.0;0.50;0.040
45;9.0;10.0;0.50;0.050
46;9.0;10.0;0.50;0.060
47;9.0;10.0;0.50;0.070
48;9.0;10.0;0.50;0.080
49;9.0;10.0;0.50;0.090
50;9.0;10.0;0.50;0.100
51;11.0;10.0;0.50;0.010
52;11.0;10.0;0.50;0.020
53;11.0;10.0;0.50;0.030
54;11.0;10.0;0.50;0.040
55;11.0;10.0;0.50;0.050
56;11.0;10.0;0.50;0.060
57;11.0;10.0;0.50;0.070
58;11.0;10.0;0.50;0.080
59;11.0;10.0;0.50;0.090
60;11.0;10.0;0.50;0.100
61;13.0;10.0;0.50;0.010
62;13.0;10.0;0.50;0.020
63;13.0;10.0;0.50;0.030
64;13.0;10.0;0.50;0.040
65;13.0;10.0;0.50;0.050
66;13.0;10.0;0.50;0.060
67;13.0;10.0;0.50;0.070
68;13.0;10.0;0.50;0.080
69;13.0;10.0;0.50;0.090
70;13.0;10.0;0.50;0.100
71;15.0;10.0;0.50;0.010
72;15.0;10.0;0.50;0.020
73;15.0;10.0;0.50;0.030
74;15.0;10.0;0.50;0.040
75;15.0;10.0;0.50;0.050
76;15.0;10.0;0.50;0.060
77;15.0;10.0;0.50;0.070
78;15.0;10.0;0.50;0.080
79;15.0;10.0;0.50;0.090
80;15.0;10.0;0.50;0.100
81;17.0;10.0;0.50;0.010
82;17.0;10.0;0.50;0.020
83;17.0;10.0;0.50;0.030
84;17.0;10.0;0.50;0.040
85;17.0;10.0;0.50;0.050
86;17.0;10.0;0.50;0.060
87;17.0;10.0;0.50;0.070
88;17.0;10.0;0.50;0.080
89;17.0;10.0;0.50;0.090
90;17.0;10.0;0.50;0.100
91;19.0;10.0;0.50;0.010
92;19.0;10.0;0.50;0.020
93;19.0;10.0;0.50;0.030
94;19.0;10.0;0.50;0.040
95;19.0;10.0;0.50;0.050
96;19.0;10.0;0.50;0.060
97;19.0;10.0;0.50;0.070
98;19.0;10.0;0.50;0.080
99;19.0;10.0;0.50;0.090
100;19.0;10.0;0.50;0.100
101;21.0;10.0;0.50;0.010
102;21.0;10.0;0.50;0.020
103;21.0;10.0;0.50;0.030
104;21.0;10.0;0.50;0.040
105;21.0;10.0;0.50;0.050
106;21.0;10.0;0.50;0.060
107;21.0;10.0;0.50;0.070
108;21.0;10.0;0.50;0.080
109;21.0;10.0;0.50;0.090
110;21.0;10.0;0.50;0.100
111;23.0;10.0;0.50;0.010
112;23.0;10.0;0.50;0.020
113;23.0;10.0;0.50;0.030
114;23.0;10.0;0.50;0.040
115;23.0;10.0;0.50;0.050
116;23.0;10.0;0.50;0.060
117;23.0;10.0;0.50;0.070
118;23.0;10.0;0.50;0.080
119;23.0;10.0;0.50;0.090
120;23.0;10.0;0.50;0.100
121;25.0;10.0;0.50;0.010
122;25.0;10.0;0.50;0.020
123;25.0;10.0;0.50;0.030
124;25.0;10.0;0.50;0.040
125;25.0;10.0;0.50;0.050
126;25.0;10.0;0.50;0.060
127;25.0;10.0;0.50;0.070
128;25.0;10.0;0.50;0.080
129;25.0;10.0;0.50;0.090
130;25.0;10.0;0.50;0.100
131;1.0;12.0;0.50;0.010
132;1.0;12.0;0.50;0.020
133;1.0;12.0;0.50;0.030
134;1.0;12.0;0.50;0.040
135;1.0;12.0;0.50;0.050
136;1.0;12.0;0.50;0.060
137;1.0;12.0;0.50;0.070
138;1.0;12.0;0.50;0.080
139;1.0;12.0;0.50;0.090
140;1.0;12.0;0.50;0.100
141;3.0;12.0;0.50;0.010
142;3.0;12.0;0.50;0.020
143;3.0;12.0;0.50;0.030
144;3.0;12.0;0.50;0.040
145;3.0;12.0;0.50;0.050
146;3.0;12.0;0.50;0.060
147;3.0;12.0;0.50;0.070
148;3.0;12.0;0.50;0.080
149;3.0;12.0;0.50;0.090
150;3.0;12.0;0.50;0.100
151;5.0;12.0;0.50;0.010
152;5.0;12.0;0.50;0.020
153;5.0;12.0;0.50;0.030
154;5.0;12.0;0.50;0.040
155;5.0;12.0;0.50;0.050
156;5.0;12.0;0.50;0.060
157;5.0;12.0;0.50;0.070
158;5.0;12.0;0.50;0.080
159;5.0;12.0;0.50;0.090
160;5.0;12.0;0.50;0.100
161;7.0;12.0;0.50;0.010
162;7.0;12.0;0.50;0.020
163;7.0;12.0;0.50;0.030
164;7.0;12.0;0.50;0.040
165;7.0;12.0;0.50;0.050
166;7.0;12.0;0.50;0.060
167;7.0;12.0;0.50;0.070
168;7.0;12.0;0.50;0.080
169;7.0;12.0;0.50;0.090
170;7.0;12.0;0.50;0.100
171;9.0;12.0;0.50;0.010
172;9.0;12.0;0.50;0.020
173;9.0;12.0;0.50;0.030
174;9.0;12.0;0.50;0.040
175;9.0;12.0;0.50;0.050
176;9.0;12.0;0.50;0.060
177;9.0;12.0;0.50;0.070
178;9.0;12.0;0.50;0.080
179;9.0;12.0;0.50;0.090
180;9.0;12.0;0.50;0.100
181;11.0;12.0;0.50;0.010
182;11.0;12.0;0.50;0.020
183;11.0;12.0;0.50;0.030
184;11.0;12.0;0.50;0.040
185;11.0;12.0;0.50;0.050
186;11.0;12.0;0.50;0.060
187;11.0;12.0;0.50;0.070
188;11.0;12.0;0.50;0.080
189;11.0;12.0;0.50;0.090
190;11.0;12.0;0.50;0.100
191;13.0;12.0;0.50;0.010
192;13.0;12.0;0.50;0.020
193;13.0;12.0;0.50;0.030
194;13.0;12.0;0.50;0.040
195;13.0;12.0;0.50;0.050
196;13.0;12.0;0.50;0.060
197;13.0;12.0;0.50;0.070
198;13.0;12.0;0.50;0.080
199;13.0;12.0;0.50;0.090
200;13.0;12.0;0.50;0.100
201;15.0;12.0;0.50;0.010
202;15.0;12.0;0.50;0.020
203;15.0;12.0;0.50;0.030
204;15.0;12.0;0.50;0.040
205;15.0;12.0;0.50;0.050
206;15.0;12.0;0.50;0.060
207;15.0;12.0;0.50;0.070
208;15.0;12.0;0.50;0.080
209;15.0;12.0;0.50;0.090
210;15.0;12.0;0.50;0.100
211;17.0;12.0;0.50;0.010
212;17.0;12.0;0.50;0.020
213;17.0;12.0;0.50;0.030
214;17.0;12.0;0.50;0.040
215;17.0;12.0;0.50;0.050
216;17.0;12.0;0.50;0.060
217;17.0;12.0;0.50;0.070
218;17.0;12.0;0.50;0.080
219;17.0;12.0;0.50;0.090
220;17.0;12.0;0.50;0.100
221;19.0;12.0;0.50;0.010
222;19.0;12.0;0.50;0.020
223;19.0;12.0;0.50;0.030
224;19.0;12.0;0.50;0.040
225;19.0;12.0;0.50;0.050
226;19.0;12.0;0.50;0.060
227;19.0;12.0;0.50;0.070
228;19.0;12.0;0.50;0.080
229;19.0;12.0;0.50;0.090
230;19.0;12.0;0.50;0.100
231;21.0;12.0;0.50;0.010
232;21.0;12.0;0.50;0.020
233;21.0;12.0;0.50;0.030
234;21.0;12.0;0.50;0.040
235;21.0;12.0;0.50;0.050
236;21.0;12.0;0.50;0.060
237;21.0;12.0;0.50;0.070
238;21.0;12.0;0.50;0.080
239;21.0;12.0;0.50;0.090
240;21.0;12.0;0.50;0.100
241;23.0;12.0;0.50;0.010
242;23.0;12.0;0.50;0.020
243;23.0;12.0;0.50;0.030
244;23.0;12.0;0.50;0.040
245;23.0;12.0;0.50;0.050
246;23.0;12.0;0.50;0.060
247;23.0;12.0;0.50;0.070
248;23.0;12.0;0.50;0.080
249;23.0;12.0;0.50;0.090
250;23.0;12.0;0.50;0.100
251;25.0;12.0;0.50;0.010
252;25.0;12.0;0.50;0.020
253;25.0;12.0;0.50;0.030
254;25.0;12.0;0.50;0.040
255;25.0;12.0;0.50;0.050
256;25.0;12.0;0.50;0.060
257;25.0;12.0;0.50;0.070
