MJD,luminosity,luminosity_err
53249.700000000186,1.1427187666200785e+42,1.4895176503816566e+40
53250.60000000009,1.1383335331057064e+42,1.417344015457619e+40
53251.64000000013,1.1346791718437299e+42,1.3941388214440675e+40
53253.60000000009,1.1611732909930602e+42,1.39687959239055e+40
53256.58999999985,1.1926007978460589e+42,1.4893349323185577e+40
53257.58999999985,1.1962551591080355e+42,1.4915275490757436e+40
53259.560000000056,1.2236628685728598e+42,1.5125401263321088e+40
53260.56999999983,1.2002749564962096e+42,1.4940856019591273e+40
53261.52000000002,1.1962551591080355e+42,1.4557148087083731e+40
53262.529999999795,1.1911390533412681e+42,1.5640666201259788e+40
53263.549999999814,1.1600769826144672e+42,1.497557245158005e+40
53264.560000000056,1.166654832886025e+42,1.5138191527738006e+40
53265.700000000186,1.1407088679259914e+42,1.5023079147985745e+40
53266.580000000075,1.1467385640082527e+42,1.4544357822666813e+40
53267.56999999983,1.1023380746752372e+42,1.4416455178497633e+40
53268.580000000075,1.0347323913286703e+42,1.448223368121321e+40
53269.56999999983,1.0667080523709655e+42,1.292182142234921e+40
53272.60000000009,9.574426506378656e+41,1.3290911909808843e+40
53273.62999999989,9.009827691403273e+41,1.49993257997829e+40
53274.580000000075,8.527452004822364e+41,1.699826141008409e+40
53275.60999999987,8.330116496675628e+41,1.6782654095627473e+40
53276.700000000186,7.242944021237594e+41,1.609928853963785e+40
53277.549999999814,7.621170411852171e+41,1.5679036994510542e+40
53278.560000000056,6.921360230183654e+41,1.484766980741087e+40
53279.56999999983,6.3567614152082715e+41,1.376415169323481e+40
53280.560000000056,6.071721236774098e+41,1.3479111514800637e+40
53281.560000000056,5.832360574114631e+41,1.345535816659779e+40
53282.549999999814,5.419417751511277e+41,1.3139255917436815e+40
53249.700000000186,1.1427187666200785e+42,1.4895176503816566e+40
53250.60000000009,1.1383335331057064e+42,1.417344015457619e+40
53251.64000000013,1.1346791718437299e+42,1.3941388214440675e+40
53253.60000000009,1.1611732909930602e+42,1.39687959239055e+40
53256.58999999985,1.1926007978460589e+42,1.4893349323185577e+40
53257.58999999985,1.1962551591080355e+42,1.4915275490757436e+40
53259.560000000056,1.2236628685728598e+42,1.5125401263321088e+40
53260.56999999983,1.2002749564962096e+42,1.4940856019591273e+40
53261.52000000002,1.1962551591080355e+42,1.4557148087083731e+40
53262.529999999795,1.1911390533412681e+42,1.5640666201259788e+40
53263.549999999814,1.1600769826144672e+42,1.497557245158005e+40
53264.560000000056,1.166654832886025e+42,1.5138191527738006e+40
53265.700000000186,1.1407088679259914e+42,1.5023079147985745e+40
53266.580000000075,1.1467385640082527e+42,1.4544357822666813e+40
53267.56999999983,1.1023380746752372e+42,1.4416455178497633e+40
53268.580000000075,1.0347323913286703e+42,1.448223368121321e+40
53269.56999999983,1.0667080523709655e+42,1.292182142234921e+40
53272.60000000009,9.574426506378656e+41,1.3290911909808843e+40
53273.62999999989,9.009827691403273e+41,1.49993257997829e+40
53274.580000000075,8.527452004822364e+41,1.699826141008409e+40
53275.60999999987,8.330116496675628e+41,1.6782654095627473e+40
53276.700000000186,7.242944021237594e+41,1.609928853963785e+40
53277.549999999814,7.621170411852171e+41,1.5679036994510542e+40
53278.560000000056,6.921360230183654e+41,1.484766980741087e+40
53279.56999999983,6.3567614152082715e+41,1.376415169323481e+40
53280.560000000056,6.071721236774098e+41,1.3479111514800637e+40
53281.560000000056,5.832360574114631e+41,1.345535816659779e+40
53282.549999999814,5.419417751511277e+41,1.3139255917436815e+40
