MJD,luminosity,luminosity_err
53262.91000000015,1.4515216734369486e+42,2.4403357362379746e+40
53263.91000000015,1.4405048255646646e+42,1.7323473616530903e+40
53264.89999999991,1.4348924691014256e+42,1.6756002018581186e+40
53265.91000000015,1.4290722475839928e+42,1.760201278915091e+40
53266.91000000015,1.401218330321992e+42,1.9077854673928562e+40
53267.89999999991,1.4856115423247703e+42,2.8186501348711187e+40
53268.89999999991,1.4039205760265143e+42,1.718004672913702e+40
53271.89999999991,1.3847969910406631e+42,1.8231843903358837e+40
53272.89999999991,1.377313849089678e+42,1.7610327391318673e+40
53273.89999999991,1.3760666587645138e+42,1.778077673575778e+40
53274.87999999989,1.3615161049709313e+42,1.7778698085215842e+40
53276.89999999991,1.330336346841826e+42,1.7556282477228223e+40
53277.89000000013,1.3359487033050649e+42,1.7940832827487188e+40
53279.89000000013,1.3020666994714372e+42,1.7635271197821954e+40
53280.87999999989,1.3037296199049895e+42,1.6934765965188057e+40
53281.87999999989,1.3186959038069599e+42,1.784105760147405e+40
53282.87000000011,1.3095498414224225e+42,1.766437230540912e+40
53287.83999999985,1.2850217650275264e+42,1.7331788218698662e+40
53288.85999999987,1.2781622182391231e+42,1.8233922553900778e+40
53291.89000000013,1.2615330139036003e+42,1.8899090727321691e+40
53295.85999999987,1.2411622385925849e+42,1.7150945621549851e+40
53300.85999999987,1.2451116746222715e+42,1.8248473107694358e+40
53304.87999999989,1.188780244935688e+42,1.9061225469593038e+40
53305.87000000011,1.1844150787976132e+42,1.7969933935074353e+40
53306.87999999989,1.0906679393561032e+42,4.5584806384751944e+39
53308.85999999987,1.1445049883923585e+42,1.701583333632373e+40
53311.83999999985,1.0937859151690138e+42,2.0547460607080391e+40
53314.85999999987,1.0781960361044611e+42,2.030633714421531e+40
53320.85999999987,9.900612531261901e+41,1.8547798785733771e+40
53323.810000000056,9.4162869549898e+41,1.7358810675743889e+40
53325.83999999985,8.925725427091876e+41,2.0277236036628145e+40
53328.830000000075,8.148310124406185e+41,1.6319485404773712e+40
53330.81999999983,7.734658666560053e+41,1.5681339688398024e+40
53336.85999999987,5.304716183031781e+41,1.1682016045704785e+40
53337.81999999983,4.8266265583855e+41,1.099814001740641e+40
53341.830000000075,2.7292681615676837e+41,6.312861695872852e+39
53344.85999999987,1.9888528385285296e+41,4.926401784398637e+39
53345.830000000075,1.6138642807624901e+41,3.851739454215474e+39
53353.85999999987,1.2733813219926604e+41,3.855896755299355e+39
53357.72999999998,1.2698476160713617e+41,3.182413979710681e+39
53362.75999999978,1.148870154530433e+41,2.908032108174554e+39
53369.79000000004,1.0029488864862204e+41,2.330167257515136e+39
53372.81999999983,1.0345443747237138e+41,2.5255604084575292e+39
53386.799999999814,9.13359048128591e+40,2.2387066336697602e+39
53388.799999999814,9.102410723156806e+40,1.9104877130973785e+39
53395.700000000186,7.464434096107808e+40,1.7633192547280015e+39
