MJD,luminosity,luminosity_err
53320.779999999795,5.322724486792085e+41,4.0699408115664286e+39
53321.85000000009,5.239205575110375e+41,3.403395651029701e+39
53323.85000000009,5.099472011335206e+41,2.3529847233404962e+39
53324.85000000009,5.022377631321319e+41,2.1441874441362203e+39
53325.810000000056,4.9019176625496214e+41,1.9578760257693275e+39
53327.79000000004,4.8762195358783255e+41,1.1432454102892595e+39
53328.75999999978,4.853733675040942e+41,8.968646208282137e+38
53330.75,4.829641681286602e+41,1.0627781511497655e+39
53332.70999999996,4.88264406754615e+41,1.2990403032339887e+39
53336.830000000075,4.926009656303961e+41,1.3867351604997846e+39
53336.85000000009,4.893886997964841e+41,1.2699692974370857e+39
53338.83999999985,4.924403523387005e+41,1.8727509811706613e+39
53342.83999999985,4.9501016500583e+41,2.529659344205653e+39
53345.79000000004,4.935646453805696e+41,2.6581499775621306e+39
53349.72999999998,4.881037934629193e+41,4.0908205394868564e+39
53362.700000000186,4.5373254904006165e+41,4.893886997964842e+39
53363.77000000002,4.524476427064968e+41,4.829641681286602e+39
53369.64999999991,4.315679147860692e+41,2.4445342996069867e+39
53373.75,4.084396007819032e+41,1.1944810503401551e+39
53375.66000000015,3.9783912352999386e+41,1.1983357693408494e+39
53380.62999999989,3.6668014494104796e+41,1.1374633317882182e+39
53386.700000000186,3.2010229034932487e+41,8.650631890724856e+38
53387.66000000015,3.1271407893132742e+41,9.863262243026613e+38
53394.700000000186,2.7705792817490488e+41,9.04734672121298e+38
53396.64000000013,2.5730249329634645e+41,7.654829482212154e+38
53398.62000000011,2.377076717094836e+41,6.5963878899381695e+38
53398.62999999989,2.357803122091364e+41,5.3709084743007646e+38
53399.62000000011,2.2373431533196664e+41,6.5963878899381695e+38
53401.64000000013,2.0542440007866857e+41,7.613070026371298e+38
53404.64999999991,1.720168354059844e+41,6.830883295813741e+38
53406.62999999989,1.4681660993894523e+41,6.768244112052459e+38
53408.60999999987,1.2100605396346279e+41,5.947510191487957e+38
53409.60999999987,1.0843003322369755e+41,6.0197861727509764e+38
53410.62000000011,9.466547412538488e+40,5.557219892667657e+38
53411.58999999985,8.711664941569183e+40,5.454427385982475e+38
53412.58999999985,7.873263558918166e+40,4.975799776729595e+38
53413.64000000013,7.654829482212154e+40,4.5565990854040875e+38
53414.60999999987,7.221173594634042e+40,3.9366317794590835e+38
53416.60000000009,6.638147345779025e+40,3.851506734860416e+38
53417.62000000011,6.594781757021213e+40,3.4997636260470594e+38
53418.60999999987,6.026210704418801e+40,4.905129928383533e+38
53418.62999999989,5.819019558131479e+40,2.2903455395792138e+38
53419.62000000011,5.770835570622801e+40,3.923782716123436e+38
53420.58999999985,5.804564361878876e+40,4.9902549729822e+38
53421.62000000011,5.757986507287154e+40,5.1797786571830046e+38
53422.560000000056,5.595767082674601e+40,3.59131320231355e+38
53423.62999999989,5.536340164747229e+40,8.300494914828455e+38
53424.580000000075,5.44479058848074e+40,4.413653255795006e+38
53425.580000000075,5.427123126394224e+40,6.08242535651226e+38
53426.58999999985,5.456033518899431e+40,4.792700624196615e+38
53427.58999999985,5.411061797224664e+40,4.554992952487131e+38
53428.54000000004,5.284177296785142e+40,3.6186174619018014e+38
53428.54000000004,5.306663157622526e+40,2.2710719445757418e+38
53430.58999999985,5.210295182605168e+40,3.753532626926102e+38
53431.56999999983,5.197446119269519e+40,3.6170113289848445e+38
53444.52000000002,4.765396364608364e+40,5.441578322646827e+38
53445.54000000004,4.730061440435332e+40,5.056106422577394e+38
53446.54000000004,4.593540142494075e+40,4.840884611705295e+38
53451.50999999978,4.420077787462829e+40,4.310860749109824e+38
53452.50999999978,4.2899810211893963e+40,3.894872323618228e+38
53453.52000000002,4.341377274531988e+40,4.082789874902076e+38
53454.52000000002,4.209674375341598e+40,2.876584054268143e+38
53454.54000000004,4.209674375341598e+40,5.0159530996534955e+38
53455.50999999978,4.2964055528572205e+40,4.85052140920703e+38
53456.52000000002,4.1936130461720386e+40,3.8017166144347814e+38
53457.5,4.1229431978259755e+40,3.718197702753071e+38
53461.529999999795,3.9832096340508064e+40,3.421063113116217e+38
