MJD,luminosity,luminosity_err
53413.799999999814,5.291554092352504e+41,8.03822303499649e+39
53414.81999999983,5.341247115985865e+41,7.804816408839791e+39
53417.87000000011,5.4391273140515775e+41,8.455343263676525e+39
53418.89000000013,5.502372980494038e+41,8.694773286637268e+39
53419.87999999989,5.4632209012677526e+41,8.380050803625976e+39
53420.87000000011,5.479785242478874e+41,8.54268251733516e+39
53421.85000000009,5.565618646936498e+41,8.68272649302918e+39
53422.799999999814,5.509902226499092e+41,8.584846294963467e+39
53423.779999999795,5.552066004127399e+41,8.489977795299777e+39
53424.799999999814,5.5731478929415526e+41,9.214291260986048e+39
53425.779999999795,5.428586369644501e+41,8.55924685854628e+39
53426.81999999983,5.592723932554695e+41,8.878486889160603e+39
53427.810000000056,5.476773544076851e+41,8.881498587562626e+39
53428.89000000013,5.309624282764635e+41,8.432755525661362e+39
53429.89999999991,5.294565790754526e+41,8.280664756359254e+39
53430.81999999983,5.2433669179201534e+41,8.628515921792785e+39
53431.799999999814,5.04911237098974e+41,8.432755525661362e+39
53436.779999999795,4.052240199920485e+41,6.926906324650403e+39
53444.830000000075,2.745163093442975e+41,3.873044145000182e+39
53445.79000000004,2.7602215854530847e+41,4.261553238861009e+39
53446.799999999814,2.7993736646793695e+41,4.1109683187599134e+39
53452.74000000022,2.5780138321307587e+41,3.766128851728404e+39
53453.689999999944,2.4786277848640358e+41,3.541757320777772e+39
53454.72999999998,2.451522499245838e+41,3.446888821114081e+39
53455.77000000002,2.367194943989225e+41,3.338467678641292e+39
53456.779999999795,2.392794380406411e+41,3.377619757867577e+39
53457.75,2.3476189043760824e+41,3.4333361783049825e+39
53458.74000000022,2.3099726743508085e+41,3.258657670987712e+39
53460.700000000186,2.2407036111043045e+41,3.046332933645167e+39
53461.669999999925,2.2557621031144137e+41,3.3565378690534234e+39
53464.779999999795,2.147340960641625e+41,2.987604814805739e+39
53465.779999999795,2.2753381427275563e+41,4.172708136001362e+39
53466.79000000004,2.0720485005910772e+41,2.715046109422756e+39
53467.77000000002,2.070542651390066e+41,2.6231893081610875e+39
53468.70999999996,2.0554841593799567e+41,2.6698706333924273e+39
53474.75,1.901887540876839e+41,2.5283208084973973e+39
53477.58999999985,1.859723763248532e+41,2.5433793005075068e+39
53481.700000000186,1.770878660388886e+41,2.4816394832660578e+39
53483.720000000205,1.8567120648465106e+41,3.701377336084933e+39
