MJD,luminosity,luminosity_err
53619.560000000056,5.498035090090064e+42,2.0036108645616674e+41
53620.45999999996,4.780022465562568e+42,1.1154667346240416e+41
53625.529999999795,2.9523102760859496e+42,4.74493885004014e+39
53626.45999999996,2.831680310385547e+42,5.180840757969483e+39
53628.5,2.6495338681526676e+42,4.401792254382421e+39
53629.45999999996,2.5711964800683426e+42,3.827478274255005e+39
53630.49000000022,2.4909367020923778e+42,4.2465592706324997e+39
53631.470000000205,2.404909754441493e+42,3.722227427687722e+39
53632.50999999978,2.355888812204676e+42,3.584776550435471e+39
53633.49000000022,2.2871633735785502e+42,2.7418085829513827e+39
53634.52000000002,2.2515991605832123e+42,4.993407743534595e+39
53635.54000000004,2.1823931244841767e+42,3.1152328194024294e+39
53639.50999999978,2.0031302670887575e+42,3.738567741766661e+39
53640.470000000205,1.96372127431014e+42,2.6601070125566875e+39
53641.49000000022,1.9334436335168117e+42,3.0710178518947125e+39
53643.45999999996,1.862795804999046e+42,5.502841064819163e+39
53644.5,1.8368435414619076e+42,4.499353541383145e+39
53650.52000000002,1.6960284818992863e+42,5.993050487187333e+39
53654.5,1.6253806533815205e+42,4.718986586503001e+39
53656.45999999996,1.601350779736022e+42,3.705887113608783e+39
53658.49000000022,1.6633478537414083e+42,3.536236205671564e+39
53659.49000000022,1.6614254638497682e+42,3.615534788701709e+39
53661.47999999998,1.6340314078939e+42,3.6674393157759856e+39
53663.50999999978,1.6090403393025815e+42,3.337749449359746e+39
53666.5,1.5705925414697838e+42,3.833245443929926e+39
53668.45999999996,1.5321447436369864e+42,3.295937469216578e+39
53669.50999999978,1.5129208447205875e+42,2.94125653420902e+39
53671.5,1.4845655938188993e+42,3.090722348284021e+39
53672.47999999998,1.4643804999566804e+42,3.427140579321001e+39
53673.50999999978,1.4456371985131917e+42,2.8081310342129583e+39
53674.470000000205,1.4268938970697027e+42,3.8712126442898135e+39
53680.470000000205,1.325487830285699e+42,6.776424368030585e+39
53684.52000000002,1.2346549079057145e+42,3.548251142494313e+39
53686.470000000205,1.1837115757772575e+42,4.4200549583529997e+39
53690.52000000002,1.0664457923872248e+42,4.2278159691890116e+39
53693.47999999998,9.261113302975134e+41,4.5536610558219713e+39
53695.529999999795,7.780873086412424e+41,3.4170480323898916e+39
53698.52000000002,5.858483194772541e+41,4.797804572060236e+39
53700.47999999998,4.473401277846006e+41,3.156564202072687e+39
53701.470000000205,3.9923232074631255e+41,3.2935344818520284e+39
53702.52000000002,3.500191395203316e+41,3.672245290505085e+39
53706.529999999795,2.382802270687634e+41,5.051079440283791e+39
