MJD,luminosity,luminosity_err
53619.470000000205,2.1737533319750398e+42,2.8934747931211376e+40
53620.54000000004,2.1348494692103856e+42,2.1883422805117847e+40
53625.56999999983,1.9889599838429332e+42,4.002234881913775e+39
53626.49000000022,1.971129046742467e+42,3.904975225002141e+39
53628.54000000004,1.9079102697499042e+42,3.071784164125802e+39
53629.5,1.8835953555219953e+42,3.8287884937546934e+39
53630.50999999978,1.862522429857808e+42,2.673019570788099e+39
53631.5,1.8284815499387358e+42,3.3765310891155913e+39
53632.560000000056,1.8122716071201302e+42,2.8983377759667196e+39
53633.52000000002,1.7863356986103607e+42,2.4720162798373868e+39
53634.58999999985,1.7685047615098942e+42,2.776763204827176e+39
53639.54000000004,1.6744870931619805e+42,3.7785376710170156e+39
53640.52000000002,1.6485511846522113e+42,2.3018118802420258e+39
53641.52000000002,1.6355832303973266e+42,2.2175201775852753e+39
53643.50999999978,1.6051085378983477e+42,2.045694783708054e+39
53644.52000000002,1.589546992792486e+42,2.3634096629527274e+39
53649.60000000009,1.5141707586859693e+42,3.413813957598385e+39
53654.529999999795,1.4407397177176846e+42,3.397604014779779e+39
53655.529999999795,1.424529774899079e+42,2.7962151362095025e+39
53656.5,1.413020715497869e+42,2.4331124170727327e+39
53658.50999999978,1.3900025966954485e+42,2.3909665657443574e+39
53661.529999999795,1.346559949941585e+42,1.9614030810513035e+39
53662.560000000056,1.3369960836786075e+42,2.1769953205387608e+39
53663.54000000004,1.3246765271364671e+42,2.068388703654102e+39
53666.52000000002,1.3347266916840028e+42,2.3536836972615644e+39
53668.5,1.3023068060467913e+42,1.8446914927573415e+39
53669.529999999795,1.2862589626563712e+42,1.7798517214829184e+39
53670.47999999998,1.265510235848556e+42,1.625857264706163e+39
53671.52000000002,1.2481655970326476e+42,1.7279799044633798e+39
53673.529999999795,1.2087754359834354e+42,1.7150119502084953e+39
53678.470000000205,1.1055181002289164e+42,2.5465820168029732e+39
53681.52000000002,1.0333838546861205e+42,2.308295857369468e+39
53682.52000000002,1.0267377781304922e+42,1.7944406700196636e+39
53688.47999999998,8.861975738931798e+41,3.363563134860706e+39
53694.529999999795,6.200303128116724e+41,2.4574273313006412e+39
53697.47999999998,4.8159740114077875e+41,2.0003069438159573e+39
53699.52000000002,4.118946470207737e+41,1.940330155387116e+39
53703.529999999795,3.1447289068095275e+41,1.937088166823395e+39
53704.47999999998,2.989113455750912e+41,1.862522429857808e+39
53707.529999999795,2.587106873849488e+41,4.2761829155482134e+39
