MJD,luminosity,luminosity_err
53625.60999999987,1.2524803998562332e+42,4.150616460706317e+39
53626.54000000004,1.2179522607761593e+42,3.619328643248404e+39
53628.580000000075,1.1733998232534831e+42,3.863253238685056e+39
53629.54000000004,1.1578064701205465e+42,3.1348208851893005e+39
53630.560000000056,1.1294042911998405e+42,3.853785845711487e+39
53631.54000000004,1.1294042911998405e+42,3.155983293012572e+39
53632.60000000009,1.0954330575888e+42,3.2289379094559544e+39
53633.56999999983,1.0815104208629636e+42,2.6664633857321676e+39
53634.66000000015,1.0447546599067558e+42,2.7572389771846206e+39
53635.68000000017,1.0408563216235216e+42,3.1470728055080365e+39
53639.56999999983,9.807105309679088e+41,3.3598106946788154e+39
53640.56999999983,9.718000434633735e+41,2.6040899732004214e+39
53641.560000000056,9.667878942420726e+41,2.320068183993361e+39
53642.62999999989,9.584343122065708e+41,3.048500537489116e+39
53643.549999999814,9.356011879761992e+41,3.11365847736603e+39
53644.58999999985,9.885072075343772e+41,3.888870890260595e+39
53650.560000000056,9.461823918878347e+41,3.075788905471755e+39
53656.54000000004,8.999592379580583e+41,2.5467287098899757e+39
53659.56999999983,8.79910641072854e+41,2.2805278956919855e+39
53661.58999999985,8.69886342630252e+41,2.465420511411092e+39
53662.60999999987,8.604189496566832e+41,2.3518117957282674e+39
53666.549999999814,8.370289199572782e+41,3.826497477728848e+39
53671.56999999983,8.247769996385423e+41,2.5528546700493437e+39
53672.529999999795,8.21992472293375e+41,2.4888105411104965e+39
53673.560000000056,8.125250793198063e+41,2.2660483534971158e+39
53679.470000000205,7.512654777261266e+41,4.6807904672261635e+39
53684.560000000056,7.128390003628184e+41,3.2963234712090017e+39
53685.5,6.93904214415681e+41,3.448915569724168e+39
53693.60000000009,5.85307647954158e+41,4.723115282872706e+39
53701.5,4.955901768928689e+41,3.6388203346645746e+39
53706.60000000009,4.099381157555239e+41,2.3462427410379326e+39
53709.54000000004,3.643275578416842e+41,3.22503957117272e+39
53718.549999999814,2.2632638261519487e+41,2.482127675482095e+39
53723.52000000002,1.8806697689259674e+41,3.544146404928888e+39
53726.560000000056,1.6166965766041108e+41,3.943447626225873e+39
