MJD,luminosity,luminosity_err
53625.799999999814,2.2078931963958183e+42,1.9246332236175537e+40
53626.60999999987,2.1369183499434768e+42,1.3779350820251923e+40
53628.74000000022,2.0135116349407564e+42,1.4796017539704384e+40
53629.62999999989,1.9380608972706995e+42,9.316247863158725e+39
53630.62000000011,1.950849157892743e+42,2.491153169174083e+40
53631.60000000009,1.8223271386412055e+42,8.747170265477786e+39
53633.689999999944,1.6861321630164417e+42,1.2097694548453196e+40
53639.62000000011,1.225754780622874e+42,2.1471489584411115e+39
53640.62000000011,1.1957023681610716e+42,1.9022537675289777e+39
53641.62000000011,1.1694864338858824e+42,1.8395912904809643e+39
53642.669999999925,1.1324004780819562e+42,2.2935745425635104e+39
53643.60999999987,1.1125786741177887e+42,2.4617401697433828e+39
53644.66000000015,1.0895598049981102e+42,1.9399791363640062e+39
53655.689999999944,9.130818084139092e+41,2.3312999113985385e+39
53657.580000000075,8.919811783875374e+41,2.4732496043032217e+39
53664.560000000056,8.497799183347938e+41,2.3025263249989408e+39
53665.60000000009,8.485010922725892e+41,2.2782286298170577e+39
53669.60999999987,8.190880928418892e+41,2.0000839612876108e+39
53674.580000000075,8.363522446816481e+41,2.44319719184142e+39
53675.560000000056,8.337945925572393e+41,2.4374424745614998e+39
53677.47999999998,8.274004622462175e+41,2.309559868341065e+39
53683.529999999795,8.120545494997652e+41,3.2821070886474766e+39
53686.52000000002,7.992662888777217e+41,3.5775159090166824e+39
53689.60000000009,7.979874628155173e+41,4.030220335037024e+39
53697.52000000002,7.666562242915107e+41,3.3153565662647894e+39
53699.580000000075,7.474738333584452e+41,3.0858072880991076e+39
53702.58999999985,7.308490945497887e+41,3.232872285252609e+39
53707.58999999985,6.764989869061036e+41,3.1625368518313696e+39
53716.58999999985,5.585272826677519e+41,4.736132321373828e+39
53717.549999999814,5.361478265791757e+41,3.472012758884823e+39
53721.54000000004,4.689455170103369e+41,6.611530741596514e+39
53725.56999999983,3.723302080107979e+41,5.3857759609736396e+39
53730.560000000056,2.6880923827535536e+41,4.142117615479905e+39
53737.549999999814,1.675901554518807e+41,3.362033717535248e+39
