MJD,luminosity,luminosity_err
53655.74000000022,1.4247793024887223e+42,7.23054665906265e+39
53656.64000000013,1.4124478792858962e+42,8.235391009238908e+39
53658.669999999925,1.4024494280403612e+42,7.51216970247855e+39
53659.64000000013,1.3722874334496642e+42,8.873625480412219e+39
53661.75,1.3571231157272698e+42,7.973764868314079e+39
53665.74000000022,1.2972990491081525e+42,6.700628743049301e+39
53668.68000000017,1.216978157435689e+42,6.292358650523293e+39
53669.700000000186,1.2279764538057773e+42,5.740777423477952e+39
53678.68000000017,1.179483965264933e+42,1.432611422631058e+40
53683.700000000186,1.1488220481119594e+42,2.0546817309574209e+40
53695.779999999795,1.0565030149448539e+42,2.8678890989275923e+40
53703.74000000022,1.0195087453363747e+42,1.9563636270429945e+40
53713.62999999989,8.885290340198676e+41,1.758061010673219e+40
