MJD,luminosity,luminosity_err
53721.810000000056,2.3275840906094723e+42,2.249949127234833e+40
53722.830000000075,2.277780529199326e+42,2.2660620441616446e+40
53724.81999999983,2.3056119311638196e+42,1.7270117324282994e+40
53725.830000000075,2.3290489012391825e+42,1.9379444631065648e+40
53726.85000000009,2.367133977611647e+42,2.465276289802229e+40
53729.83999999985,2.22651215715947e+42,3.6752098699428357e+40
53736.83999999985,2.285104582347877e+42,4.987680194163155e+40
53737.85000000009,2.334908143758023e+42,5.207401788619681e+40
53738.81999999983,2.2645972335319346e+42,5.060920725648664e+40
53739.85000000009,2.2894990142370074e+42,5.220585084287073e+40
53741.79000000004,2.1693845426007732e+42,4.973032087866053e+40
53746.810000000056,2.05952374537251e+42,4.624407157995031e+40
53747.830000000075,2.0565941241130895e+42,4.397361510389954e+40
53750.830000000075,1.9936072670355518e+42,3.9696368065145813e+40
53752.83999999985,1.9525925694036668e+42,3.4540234648565987e+40
53757.83999999985,1.715293247390618e+42,8.787398967631355e+39
53760.72999999998,1.725546921798589e+42,1.879352037918158e+40
53761.830000000075,1.7123636261311974e+42,2.268991665421065e+40
53762.83999999985,1.6977155198340958e+42,2.698181179926147e+40
53763.83999999985,1.6830674135369942e+42,2.853451106675426e+40
53764.81999999983,1.6786729816478635e+42,3.2284426278812317e+40
53765.799999999814,1.693321087944965e+42,3.3895717971493507e+40
53772.79000000004,1.5878547226058325e+42,3.1200466412826787e+40
53774.779999999795,1.5570936993819188e+42,2.600038867735565e+40
53779.74000000022,1.435953860304887e+42,1.0435310926055305e+40
53784.799999999814,1.353045578663291e+42,1.0529058806356755e+40
53788.75999999978,1.2575399256061876e+42,6.85238412578421e+39
53797.85999999987,1.0864500440560387e+42,9.673609398606012e+39
53798.77000000002,1.1087151656276334e+42,7.829412815800899e+39
53800.720000000205,1.1153068134613291e+42,8.796187831409617e+39
53808.700000000186,9.73513144505384e+41,1.097289642715894e+40
53809.70999999996,9.73220182379442e+41,9.39676018959079e+39
53813.70999999996,9.059853744757449e+41,1.0772217370888648e+40
53820.77000000002,8.337702104310332e+41,1.254610304346767e+40
53834.60000000009,5.721550319647954e+41,3.244555544808043e+39
53834.64000000013,6.166852751079848e+41,2.859310349194267e+39
53844.58999999985,4.7210846595559026e+41,9.062783366016868e+39
