MJD,luminosity,luminosity_err
53736.60000000009,1.5918039237684546e+42,1.1928940247999744e+40
53738.60000000009,1.4709802524462707e+42,1.1037146483478861e+40
53740.580000000075,1.3645403515195849e+42,1.083577369794189e+40
53741.580000000075,1.3463209090186206e+42,1.181387008483576e+40
53748.60000000009,1.17467458229901e+42,1.1612497299298787e+40
53752.580000000075,1.0816595337414558e+42,1.0922076320314876e+40
53760.56999999983,9.589180263665389e+41,1.0519330749240931e+40
53762.56999999983,9.208489807197874e+41,9.665893705774712e+39
53764.560000000056,9.177804430354144e+41,1.0260422882121965e+40
53768.56999999983,8.659988696116213e+41,1.0145352718957982e+40
53772.560000000056,8.467246172816538e+41,1.0145352718957982e+40
53775.39000000013,8.052034667399827e+41,9.896034032102682e+39
53778.54000000004,7.83244243936189e+41,1.0001515015003e+40
53785.529999999795,7.331887229598556e+41,9.169174168116845e+39
53798.50999999978,5.900222616233314e+41,9.572878657217157e+39
