MJD,luminosity,luminosity_err
53786.60000000009,8.511381245235579e+42,4.844422526932503e+40
53786.810000000056,8.309530306613391e+42,4.0485531117935923e+40
53787.64000000013,8.02597779759651e+42,3.1493552399790374e+40
53788.64999999991,7.617469945623034e+42,2.489975507146558e+40
53788.72999999998,7.439648880646345e+42,2.7740086136363506e+40
53789.68000000017,7.218574043107759e+42,1.944016777920831e+40
53790.549999999814,6.901379710987177e+42,2.220360324844064e+40
53795.56999999983,4.697359700222052e+42,6.930215559361776e+39
53796.64999999991,4.477726655102196e+42,4.6675626569016347e+39
53798.58999999985,4.117278550419718e+42,6.747588519655988e+39
53799.60999999987,3.868329059452353e+42,6.295826895120615e+39
53800.60000000009,3.7179020504315325e+42,3.978866478221647e+39
53801.60000000009,3.583334758016741e+42,6.507289783201001e+39
53802.64999999991,3.333424072103556e+42,5.88731904314714e+39
53803.689999999944,3.1849194529743754e+42,4.2874100558298477e+39
53804.70999999996,3.028725274278634e+42,6.113199855414826e+39
53808.64000000013,2.6134890576844202e+42,4.974183844618196e+39
53809.60000000009,2.5553367634623138e+42,7.85296270734892e+39
53810.560000000056,2.45296950173249e+42,4.8636464258489027e+39
53817.560000000056,2.1002109566165715e+42,4.167741285075265e+39
53818.62999999989,2.0502288194339344e+42,5.757557725461448e+39
53819.66000000015,2.009378034236587e+42,5.594154584672058e+39
53823.560000000056,1.891151055900734e+42,8.266276534051494e+39
53824.549999999814,1.8551062454324867e+42,8.66517243656677e+39
53833.529999999795,1.7570643609588523e+42,4.882870324765301e+39
53835.50999999978,1.7080434187220356e+42,3.938015693024299e+39
53839.5,1.6071179494109417e+42,4.09180688435549e+39
53840.50999999978,1.5590582021199447e+42,4.0793113500598306e+39
53845.47999999998,1.3990192436409243e+42,3.644851234549217e+39
53845.50999999978,1.4038252183700243e+42,3.368027090153074e+39
53852.54000000004,9.732098826426905e+41,4.052397891576872e+39
53853.54000000004,8.977560793958252e+41,4.054320281468512e+39
53861.45999999996,4.998213718263694e+41,4.189848768829124e+39
53862.49000000022,4.326338451135555e+41,3.8265170793091856e+39
53863.52000000002,4.100938236340779e+41,2.980665526987638e+39
53867.45999999996,3.644851234549217e+41,3.300262846472768e+39
53869.45999999996,3.572281016139811e+41,3.230576212900822e+39
53872.450000000186,3.587179537800021e+41,4.9789898193472955e+39
