MJD,luminosity,luminosity_err
53823.810000000056,1.1567310105760734e+42,3.4713248624626387e+39
53824.830000000075,1.1329625651532773e+42,3.221190270156071e+39
53830.85000000009,1.0369833188745582e+42,1.1657856564514241e+39
53831.810000000056,1.0358514881401393e+42,1.9127939411678707e+39
53833.85000000009,1.0119698596439014e+42,2.15161022613025e+39
53835.83999999985,9.982747077574332e+41,1.743019331005042e+39
53837.810000000056,9.79599500639522e+41,9.450786632397469e+38
53840.779999999795,9.661307148999376e+41,1.9252440792464784e+39
53841.810000000056,9.612638427419364e+41,1.7237782085199214e+39
53843.79000000004,9.416831710364903e+41,7.219948254857899e+38
53845.779999999795,9.359108342909541e+41,1.1329625651532774e+39
53845.79000000004,9.291198498844409e+41,7.558365644449138e+38
53846.79000000004,9.391931434207688e+41,1.200872409218409e+39
53848.77000000002,9.334208066752328e+41,8.712832993556372e+38
53850.779999999795,9.312703282798367e+41,1.4521388322593954e+39
53852.75,9.167828948792753e+41,9.42022720256816e+38
53859.74000000022,9.047854890944355e+41,1.4147884180235732e+39
53861.75999999978,8.984472369816898e+41,1.9807037852330024e+39
53862.720000000205,8.944858294112238e+41,2.2342338697428266e+39
53866.72999999998,8.818093251857327e+41,2.0112632150623116e+39
53867.72999999998,8.771688191746154e+41,1.6773731484087483e+39
53868.75999999978,8.668691594914037e+41,1.0717305224212171e+39
53870.72999999998,8.5283445838461e+41,9.692998409563105e+39
53890.669999999925,6.0711400594227576e+41,7.888860218899444e+39
53891.689999999944,5.7327226698315185e+41,7.369349911801188e+39
