MJD,luminosity,luminosity_err
53832.830000000075,8.271134430771409e+42,5.171635633556019e+40
53832.83999999985,8.19930615808313e+42,3.8721968821953515e+40
53833.75999999978,7.800985736811772e+42,4.2792237607622607e+40
53834.830000000075,7.413548387159846e+42,4.211748716721757e+40
53835.799999999814,5.80285378748331e+42,1.119215085342805e+40
53835.83999999985,5.813736859102745e+42,7.485376659848126e+39
53838.77000000002,5.1172202754588375e+42,2.026645596971384e+40
53840.75,4.7080167825680416e+42,1.5238476881534378e+40
53841.779999999795,4.6100691379931174e+42,1.4028279317453088e+40
53844.79000000004,4.085505085936299e+42,7.291657985022164e+39
53845.74000000022,3.9832042127136e+42,7.457080673637591e+39
53846.79000000004,3.819958138422059e+42,5.93562726124043e+39
53850.75,3.558764419555593e+42,2.964548709134384e+40
53853.810000000056,3.3128070009563383e+42,2.8557179929400233e+40
53858.72999999998,2.918839808332753e+42,2.74906389106955e+40
53862.77000000002,2.814362320786166e+42,2.779536491603971e+40
53866.669999999925,2.6249968746079787e+42,2.8274220067294897e+40
53867.70999999996,2.5444621446241518e+42,2.746887276745663e+40
53870.75,2.4552209573447762e+42,2.914486579684978e+40
53886.669999999925,1.9128086678320825e+42,3.421637717150699e+40
53890.64999999991,1.7391148447858833e+42,2.2876216544054607e+40
53893.62999999989,1.6587977762344448e+42,1.9467638512847232e+40
53894.580000000075,1.5987232208951578e+42,1.9199914951009105e+40
53897.580000000075,1.4968576705372363e+42,1.7889593128029004e+40
