MJD,luminosity,luminosity_err
53979.87999999989,8.584305924468034e+41,3.216157529673973e+39
53980.830000000075,8.436446324391076e+41,2.817359065466404e+39
53981.779999999795,8.326607764333906e+41,3.019715489571728e+39
53982.83999999985,8.30970952432511e+41,3.164617897647148e+39
53986.779999999795,8.330832324336105e+41,2.8532678254850936e+39
53987.830000000075,8.394200724369087e+41,2.4134911292561952e+39
53991.779999999795,8.254790244296526e+41,2.39490306524652e+39
53993.779999999795,8.242116564289929e+41,2.1004512330932614e+39
53994.810000000056,8.263239364300924e+41,2.1101677210983184e+39
53995.810000000056,8.246341124292128e+41,2.0189172250508235e+39
53998.77000000002,8.322383204331707e+41,2.10467579309546e+39
54001.799999999814,8.444895444395472e+41,2.2069101451486717e+39
54002.799999999814,8.449120004397671e+41,2.7442741774283637e+39
54003.779999999795,8.432221764388876e+41,2.3425185212192545e+39
54008.75999999978,8.478691924413062e+41,2.2546476731735187e+39
54009.72999999998,8.52938664443945e+41,2.8794600974987266e+39
54021.75,8.613877844483426e+41,8.368853364355894e+39
54025.779999999795,8.444895444395472e+41,2.2288778571601058e+39
54027.74000000022,8.364628804353694e+41,4.7272826424604973e+39
54037.75999999978,8.05623592419318e+41,3.2157350736737535e+39
54038.70999999996,7.980193844153601e+41,2.1773382251332798e+39
54041.62000000011,7.76474128404146e+41,4.9469597625748364e+39
54045.68000000017,7.507043123907331e+41,5.263801762739749e+39
54048.700000000186,7.135281843713833e+41,2.0920021130888636e+39
54053.669999999925,6.67902936347636e+41,9.492586324940785e+39
54067.60000000009,4.071208474119018e+41,2.733712777422867e+39
54068.62000000011,3.715500521933876e+41,1.9808961850310342e+39
54074.580000000075,2.1359375371117315e+41,3.1270193136275784e+39
54078.580000000075,1.5546380808091716e+41,1.9969495130393895e+39
54080.62999999989,1.259341336655473e+41,1.8875334089824397e+39
