MJD,luminosity,luminosity_err
54047.52000000002,8.911664729150268e+41,3.0231041997863064e+39
54048.560000000056,8.416572244197475e+41,2.4554850087044646e+39
54049.52000000002,8.060453088354239e+41,2.3525578868326998e+39
54052.50999999978,7.113697283795389e+41,2.210110224495405e+39
54056.529999999795,6.536089384683797e+41,2.297402846842345e+39
54057.529999999795,6.857465208249646e+41,2.230521932208371e+39
54068.529999999795,6.596890216169229e+41,2.96490911822168e+39
54077.54000000004,6.675062713793353e+41,3.111699697093649e+39
54078.54000000004,6.722834795674764e+41,2.7195343340126207e+39
54079.529999999795,6.631633548446617e+41,3.1447058627571685e+39
54083.529999999795,6.549118134287819e+41,5.372187753391268e+39
