MJD,luminosity,luminosity_err
54070.85000000009,9.991914363456341e+41,7.620047313101898e+39
54071.79000000004,9.841550603617919e+41,5.932092847818983e+39
54072.79000000004,9.61357974192741e+41,4.098140022176826e+39
54073.799999999814,9.390459324102657e+41,6.140661934046469e+39
54074.830000000075,9.07518047282855e+41,4.272756001344024e+39
54075.830000000075,8.876312274332574e+41,6.44138945372331e+39
54077.830000000075,7.736457965880031e+41,3.300727050646621e+40
54078.85000000009,7.382375563679879e+41,3.111074695495581e+39
54082.87000000011,6.814873631386485e+41,2.6658039486192257e+39
54083.810000000056,6.703313422474108e+41,2.5780109146490508e+39
54085.75999999978,6.533547887172665e+41,2.526111165285467e+39
54086.85000000009,6.378333683468489e+41,2.4465638858870766e+39
54087.75999999978,6.257072586824601e+41,2.603718267137555e+39
54090.810000000056,6.0485035005971146e+41,1.6898946428292177e+39
54091.81999999983,5.9223919600874716e+41,2.4533545072991342e+39
54092.85000000009,5.820532638906606e+41,2.531446653537798e+39
54093.81999999983,5.946644179416249e+41,2.302505703074138e+39
54098.85000000009,5.626514884276385e+41,2.2583666638957632e+39
54099.81999999983,5.568309557887319e+41,2.4174612226925436e+39
54100.77000000002,5.582860889484586e+41,2.56394462743836e+39
54102.77000000002,5.4664502367064535e+41,4.474049421772878e+39
54103.81999999983,5.490702456035232e+41,1.48472086730776e+39
54105.75,5.510104231498254e+41,2.7177036979828093e+39
54107.799999999814,5.379142247122855e+41,2.4829422148802428e+39
54108.83999999985,5.2724324820762334e+41,2.394179092136917e+39
54109.74000000022,5.248180262747457e+41,1.686499332123189e+39
54112.81999999983,5.13662005383508e+41,2.6769599695104632e+39
54114.799999999814,5.097816502909036e+41,2.5241709877391648e+39
54118.75999999978,4.8989483044130595e+41,2.8355694839206683e+39
54120.830000000075,4.7990291607784965e+41,1.7325785488478662e+39
54122.779999999795,4.614227249493212e+41,2.4834272592668187e+39
54123.79000000004,4.596765651576493e+41,2.5794660478087776e+39
54126.720000000205,4.601616095442248e+41,1.9416326794619286e+39
54127.74000000022,4.432820648913956e+41,2.4596600843246165e+39
54129.700000000186,4.381890988323523e+41,2.4412283976347458e+39
54130.689999999944,4.417299228543538e+41,2.5702502044638424e+39
54133.75,4.250443959561549e+41,2.8894094108305547e+39
54135.700000000186,4.122392241505604e+41,1.59046054358123e+39
54136.77000000002,4.034599207535429e+41,2.11915892494858e+39
54138.700000000186,3.912853066504966e+41,2.1642680529001064e+39
54140.669999999925,3.8367010978126046e+41,1.5870652328752013e+39
54143.72999999998,3.667420606897737e+41,2.1817296508168262e+39
54146.68000000017,3.4394497452072283e+41,2.398544491616097e+39
54147.66000000015,3.4695224971749126e+41,2.516410277553956e+39
54158.66000000015,2.8253835518025816e+41,2.1249794575874867e+39
54158.70999999996,2.9844781105993623e+41,2.218593024196568e+39
54161.64000000013,2.7046074995452692e+41,2.1351653897055734e+39
54163.720000000205,2.5299915203780714e+41,2.3650764289423844e+39
54164.560000000056,2.4960384133177832e+41,1.5890054104215033e+39
54165.64999999991,2.4824571704936674e+41,1.8858525750057405e+39
54169.62000000011,2.2428452435253455e+41,2.299595436754685e+39
54172.60000000009,2.0342761572978587e+41,2.179789473270524e+39
54182.68000000017,8.813256504077752e+40,2.5222308101928628e+39
