MJD,luminosity,luminosity_err
54125.77000000002,1.3536414447888186e+43,2.84629977361149e+41
54126.810000000056,1.1674581179577655e+43,1.2983183991018771e+41
54127.779999999795,1.0188660914011726e+43,1.6263556892327802e+41
54128.72999999998,9.670893947967272e+42,1.2185255447457114e+41
54128.779999999795,9.709903787874731e+42,7.9119048030491325e+40
54131.70999999996,7.787782585161764e+42,1.0312783131899094e+41
54132.689999999944,7.340942600767236e+42,5.330162670991864e+40
54133.779999999795,6.954390550775145e+42,1.145825388554538e+41
54136.87000000011,4.3691020696353794e+42,2.3994597892169624e+40
54137.83999999985,4.4116582586253346e+42,1.3469033815320756e+40
54137.85000000009,4.404565560460342e+42,9.298527294305167e+39
54139.72999999998,4.018013510468251e+42,1.383430777081787e+40
54140.810000000056,3.890344943498386e+42,1.5504638188673605e+40
54143.79000000004,3.465846958323585e+42,2.287749793118331e+40
54146.779999999795,2.992763990718585e+42,1.8026092386328438e+40
54147.700000000186,2.881408629528203e+42,2.209730113303413e+40
54150.669999999925,2.6133046388914866e+42,1.6731674971217305e+40
54154.60999999987,2.3047722687143127e+42,1.9987223428948865e+40
54159.62999999989,2.1763944319279484e+42,6.018154392996136e+39
54159.62999999989,2.1625636705062132e+42,9.865943147504566e+39
54160.62000000011,2.1969632566064268e+42,1.6972826708827053e+40
54161.60999999987,2.0997932917460292e+42,2.1785222413774462e+40
54165.689999999944,1.9845369465649012e+42,2.3678972823827463e+40
54166.62000000011,2.0022686919773828e+42,2.314702046145302e+40
54170.68000000017,1.8121843811555838e+42,1.6114610230862958e+40
54171.60999999987,1.7937433659266033e+42,7.284201015447297e+39
54179.60000000009,1.8075741273483386e+42,2.80799920352053e+40
54199.62999999989,1.5653584850138446e+42,2.807644568612281e+40
