MJD,luminosity,luminosity_err
54137.62999999989,7.710065242100666e+42,7.782185513514596e+40
54137.66000000015,7.719590560966656e+42,7.590318376356779e+40
54138.549999999814,7.83117286768255e+42,7.186172704471163e+40
54143.62000000011,6.703102961981623e+42,4.312247926617898e+40
54146.529999999795,5.995507846222295e+42,2.4901905035376314e+40
54147.60000000009,4.587121413893636e+42,1.2431901879956173e+41
54150.56999999983,4.187058021522017e+42,1.3920573142726757e+40
54158.580000000075,3.3420261621248205e+42,7.629780411658741e+39
54159.580000000075,3.288956528442871e+42,1.4655383455246056e+40
54160.60999999987,3.197785619296958e+42,5.3178494468989417e+39
54161.549999999814,3.110696989665041e+42,1.820696663242268e+40
54165.60000000009,2.8113298253053254e+42,2.193544858853913e+40
54167.56999999983,2.6684500423154612e+42,7.029685323101313e+39
54169.56999999983,2.5541462159235703e+42,1.547183935804528e+40
54170.58999999985,2.597690530739529e+42,6.205064861274097e+39
54183.54000000004,2.083323311976018e+42,1.069012928731783e+40
54185.529999999795,2.0384182373220608e+42,1.8424688206502472e+40
54191.50999999978,1.8560764190302344e+42,1.9431650486621514e+40
54199.49000000022,1.7757915885883106e+42,2.21803853593789e+40
54205.49000000022,1.7104751163643728e+42,3.001836202625144e+40
