MJD,luminosity,luminosity_err
54147.810000000056,5.595056784281284e+42,6.532810958474661e+40
54150.89000000013,6.090157422110449e+42,4.216746957782295e+40
54153.85000000009,5.960088610477363e+42,2.326553420985356e+40
54154.89000000013,5.794355769848109e+42,2.292987276047785e+40
54156.89000000013,4.4894718854000553e+42,4.6258343492089356e+39
54159.87000000011,4.189474465020519e+42,4.237725798368276e+39
54159.87999999989,4.155908320082949e+42,7.149588871702518e+39
54161.799999999814,4.0237416243912644e+42,7.520914350074391e+39
54162.83999999985,3.96080510263332e+42,4.269194059247249e+39
54163.830000000075,3.9796860591607034e+42,9.050271828792448e+39
54165.83999999985,3.7698976533008876e+42,1.227052385874062e+40
54166.85000000009,3.711156899660139e+42,1.2171923307986505e+40
54169.91000000015,3.413257363339201e+42,5.0768794218075395e+39
54170.85999999987,3.358712377815649e+42,6.304141596087462e+39
54170.91000000015,3.325146232878078e+42,3.5622071314996704e+39
54171.85999999987,3.262209711120134e+42,6.457287132365127e+39
54172.85000000009,3.207664725596582e+42,1.2029267192001831e+40
54174.91000000015,3.136336667604244e+42,2.339140725336945e+40
54179.85999999987,2.9097651892756433e+42,2.6685085225368553e+40
54181.83999999985,2.8174582906973245e+42,1.5532733569860753e+40
54182.810000000056,2.794381566052745e+42,9.578938611559184e+39
54183.830000000075,2.758717537056576e+42,3.413257363339201e+39
54185.85000000009,2.7167598558846128e+42,1.1259343742496307e+40
54189.87000000011,2.5594185514897513e+42,3.6419267257264e+39
54197.81999999983,2.3601195659229262e+42,8.886636872221792e+39
54198.75,2.330749189102552e+42,4.032133160625657e+39
54204.87000000011,2.2048761455866625e+42,4.552408407158001e+40
54218.810000000056,1.998654142626464e+42,8.752372292471509e+39
54219.81999999983,2.05991235713753e+42,3.0167572762641495e+39
54226.87999999989,1.9399133889857155e+42,1.8536903541773314e+40
54230.85999999987,1.8541099309890507e+42,2.985289015385177e+39
54231.83999999985,1.8270472266331344e+42,4.499961305693046e+39
54234.83999999985,1.7620128208165917e+42,3.3293420009952745e+39
54245.77000000002,1.41124660621898e+42,4.298564436067623e+40
54258.72999999998,9.797118553653391e+41,6.224422001860731e+39
54259.669999999925,9.461457104277686e+41,9.690126466664887e+39
54274.700000000186,4.661498378205104e+41,1.2897791192261465e+40
54331.549999999814,2.2363444064656347e+41,1.5490775888688791e+40
54348.5,1.8077466932940315e+41,3.4006700589876124e+39
54350.52000000002,1.4947423917511868e+41,1.772921817921302e+39
