MJD,luminosity,luminosity_err
54150.75999999978,9.607527412244245e+41,3.2426305947251953e+39
54153.79000000004,9.268777383455437e+41,1.7672661076386262e+39
54154.75,9.196702909245053e+41,1.6368113093178305e+39
54158.75,8.987686934034939e+41,1.7658246181544187e+39
54159.700000000186,8.966064591771823e+41,1.9921384671750255e+39
54161.700000000186,9.009309276298054e+41,1.2238245720923277e+39
54162.66000000015,9.002101828877016e+41,9.967899783296167e+38
54166.75999999978,9.038139065982207e+41,1.2440054248712353e+39
54168.720000000205,9.1678731195609e+41,1.1546330768503587e+39
54170.72999999998,9.175080566981937e+41,1.5200506610970077e+39
54174.70999999996,9.369681647349977e+41,2.0887182626169407e+39
54179.720000000205,9.528245490612823e+41,2.1334044366273793e+39
54183.720000000205,9.679601886454629e+41,1.3441889440236697e+39
54185.70999999996,9.679601886454629e+41,1.6339283303494152e+39
54194.720000000205,9.434548674139322e+41,1.9409655904856527e+39
54196.689999999944,9.384096542192054e+41,1.3622075625762657e+39
54197.74000000022,9.340851857665822e+41,1.783122491964911e+39
54199.689999999944,9.12462843503467e+41,2.828202368015485e+39
54222.689999999944,4.991157339069122e+41,3.621742329071818e+39
54226.62999999989,3.8631918176766054e+41,2.1132235838484717e+39
54229.62000000011,3.1539789914464226e+41,1.2144548904449775e+39
54234.64000000013,2.527651810558182e+41,4.3612264344703616e+39
54249.58999999985,1.463111826470804e+41,1.4429309736918962e+40
