MJD,luminosity,luminosity_err
54153.87000000011,2.4379634019382162e+42,3.0355700297113726e+40
54158.85999999987,2.2998800523391158e+42,5.0196693071476275e+39
54158.87999999989,2.2761116069163198e+42,5.558420736731004e+39
54160.89999999991,2.267056961040969e+42,1.2110588858281762e+40
54161.830000000075,2.1844333174283928e+42,7.64891210320263e+39
54162.87999999989,2.1516102261302458e+42,7.190520655762993e+39
54163.85000000009,2.1448192417237327e+42,8.066557644203188e+39
54164.87000000011,2.0757775669241825e+42,5.3218681132374626e+39
54165.85999999987,2.0282406760785904e+42,8.65963694903867e+39
54166.89000000013,1.9637263242167157e+42,7.32294485169e+39
54169.87000000011,1.8109291750701702e+42,5.207553209061157e+39
54170.89999999991,1.7939517140538872e+42,7.444050740272818e+39
54179.91000000015,1.4679844625412567e+42,7.933001617541764e+39
54181.89000000013,1.4147884180235702e+42,6.417480264154916e+39
54182.85999999987,1.4034701106793817e+42,5.978329939200399e+39
54183.89000000013,1.3649878657091406e+42,5.269803899454195e+39
54185.89999999991,1.3027371753161037e+42,5.703295070736617e+39
54189.919999999925,1.1612583335137466e+42,5.811950821240828e+39
54190.91000000015,1.1116841473462007e+42,5.896838126322241e+39
54191.89000000013,1.0990076431207095e+42,5.857224050617581e+39
54197.87000000011,9.125951211619239e+41,1.7679196071622536e+40
54199.81999999983,8.296319283290217e+41,1.5075985382459166e+40
54202.91000000015,6.6755376716024144e+41,1.2325636697821346e+40
54207.81999999983,4.520531953268912e+41,7.874146419351983e+39
54224.83999999985,2.3677898964042475e+41,5.072865351665314e+39
54227.93000000017,2.4855002927838085e+41,8.119753688720876e+39
54232.779999999795,2.1912243018349058e+41,5.318472621034206e+39
54235.81999999983,2.018054199468821e+41,4.159477948989297e+39
