MJD,luminosity,luminosity_err
54180.75,1.2361635366663329e+42,6.57711308035068e+39
54181.75,1.2412199372662565e+42,4.830126673077061e+39
54182.75999999978,1.2538609387660655e+42,4.6025886460804966e+39
54194.64999999991,1.0064765394148013e+42,1.661027597074917e+39
54196.60999999987,9.714609652603302e+41,1.3146641559801475e+39
54197.68000000017,9.531315130856069e+41,1.5712764864262723e+39
54224.549999999814,7.942341242330064e+41,1.1566516372325335e+40
54236.54000000004,7.472095986537164e+41,1.3677563622793457e+39
54237.560000000056,7.419003780237967e+41,1.9682039335202785e+39
54247.56999999983,6.6491667888995915e+41,6.100547323807877e+39
54256.529999999795,6.0588320188585066e+41,1.1637305980724267e+39
54258.47999999998,6.238334240155796e+41,2.4030543851137116e+39
