MJD,luminosity,luminosity_err
54357.52000000002,4.847447725025356e+42,2.416361893304911e+40
54359.470000000205,4.266670154190391e+42,2.223314700745683e+40
54363.47999999998,2.876075970501038e+42,1.4990605300171226e+40
54364.47999999998,2.787732340007832e+42,1.450307933930131e+40
54365.47999999998,2.6912087437282183e+42,1.4283856256225575e+40
54367.47999999998,2.524337441685496e+42,1.427567629043917e+40
54368.47999999998,2.4523537427651057e+42,1.393048173425275e+40
54376.49000000022,1.9877316860971337e+42,1.5123120745911032e+40
54457.83999999985,8.101438114858442e+41,2.8106362442097746e+40
54462.830000000075,6.447449032846753e+41,1.1461768059914832e+40
54467.81999999983,5.145198479650605e+41,6.260945812916651e+39
54468.810000000056,4.929247382889435e+41,6.231497936085583e+39
54469.83999999985,4.7083883066564204e+41,5.986098962493343e+39
54470.810000000056,4.5382450182991354e+41,6.007366873538004e+39
54476.83999999985,3.988551317452521e+41,5.0421309107418654e+39
54478.830000000075,3.779144193320477e+41,5.022498992854486e+39
54486.81999999983,3.3505139861126998e+41,4.3272019010098094e+39
54488.77000000002,3.3734178903146417e+41,4.2290423115729145e+39
54492.87999999989,3.2539903898330857e+41,5.0290429654836126e+39
54499.79000000004,2.988959498353468e+41,3.7087964875573684e+39
54512.81999999983,2.5586932979884096e+41,3.139470868823374e+39
54515.79000000004,2.4785296332816112e+41,2.9235197720622043e+39
54517.79000000004,2.4196338796194744e+41,3.0494912451728867e+39
54519.83999999985,2.3705540849010264e+41,2.944787683106865e+39
54530.79000000004,2.151331001825293e+41,5.0650348149438077e+39
54538.79000000004,1.9402878845359677e+41,3.393049808202021e+39
54540.75,1.9206559666485886e+41,2.9938674778253125e+39
54542.810000000056,1.85030826088548e+41,2.5848691885049148e+39
54548.77000000002,1.7390607261903319e+41,2.087527268691311e+39
54560.799999999814,1.5438867425266381e+41,1.758692644077711e+39
54562.810000000056,1.5198376431145986e+41,1.866668192458296e+39
54568.810000000056,1.4251136393079945e+41,1.7914125072233427e+39
54571.75999999978,1.3842138103759545e+41,1.6253592017592612e+39
54572.810000000056,1.3717802623806147e+41,1.540941954843531e+39
54574.79000000004,1.345604371864109e+41,1.5648274549398425e+39
54575.74000000022,1.3686718753817796e+41,1.8699401787728592e+39
54582.779999999795,1.2520255632676021e+41,1.4467087489841116e+39
54592.799999999814,1.1343976552590557e+41,1.480246608708384e+39
54606.70999999996,1.002045808834975e+41,1.2001645801817757e+39
54624.720000000205,8.430272739472042e+40,9.54929205905265e+38
54644.62999999989,7.154198076792401e+40,8.369740992652623e+38
54646.64999999991,6.951334925289483e+40,8.238861540070095e+38
54651.580000000075,6.642132218563262e+40,7.654811982920567e+38
