MJD,luminosity,luminosity_err
54381.5,3.8132896578688e+42,9.844220164448e+40
54383.49000000022,3.7187947133984e+42,2.9018320922176e+40
54384.54000000004,3.582434920112e+42,1.9353521538368002e+40
54385.50999999978,3.4377021570624e+42,1.9820015568032e+40
54386.5,3.2786157315616e+42,1.0874095445321601e+40
54386.50999999978,3.2750273159488e+42,1.16611546030624e+40
54387.45999999996,3.2044551422304007e+42,1.13298242281472e+40
54387.50999999978,3.2068474193056004e+42,1.1590582429344e+40
54388.5,2.5202638987232e+42,3.2546929608096e+40
54388.50999999978,2.5071063748096e+42,6.6792375939584e+39
54389.45999999996,2.4413187552416e+42,4.090793798592e+39
54392.5,2.0047281890176e+42,5.755818642931201e+39
54393.50999999978,1.895879582096e+42,7.6337561469632e+39
54396.52000000002,1.6997128619296e+42,8.4184230276288e+39
54397.5,1.67459395264e+42,7.5081616005152e+39
54399.52000000002,1.5860797008576e+42,1.16707237113632e+40
54402.50999999978,1.4808195095488e+42,1.6889476150912002e+40
54407.52000000002,1.3827361494656e+42,5.0357432432960005e+39
54408.52000000002,1.4138357514432e+42,6.3203960326784e+39
54413.52000000002,1.3719709026272001e+42,5.3455431245344e+39
54415.52000000002,1.3480481318752e+42,6.901719361952e+39
54418.50999999978,1.2942218976832001e+42,5.7940950761344e+39
54423.54000000004,1.2236497239648e+42,4.3348060602624e+39
54424.52000000002,1.2104922000512e+42,3.73793293e+39
54425.529999999795,1.1997269532128001e+42,5.221144716624e+39
54425.529999999795,1.2104922000512e+42,4.4364778359584e+39
54427.529999999795,1.1874067262755201e+42,5.8861977435296e+39
54428.54000000004,1.1973346761376002e+42,6.9830567825088e+39
54430.529999999795,1.1887224786668802e+42,3.6697530333568003e+39
