MJD,luminosity,luminosity_err
54408.58999999985,1.3633623513156526e+42,1.9704785163949026e+39
54409.50999999978,1.3241176089058754e+42,1.504250976566752e+39
54410.52000000002,1.289189788161174e+42,1.2432734395417349e+39
54413.549999999814,1.1930401692572204e+42,1.0639249667290542e+39
54415.64000000013,1.1361352927630438e+42,9.077308919381417e+38
54417.52000000002,1.089434049295409e+42,1.0211481975023972e+39
54418.60000000009,1.0647098615772497e+42,1.36728682555663e+39
54421.50999999978,1.014476591292735e+42,9.006668383043818e+38
54425.58999999985,9.528623457093852e+41,9.304928425358124e+38
54425.62999999989,9.505076611647987e+41,9.108704713309239e+38
54426.60999999987,9.383417910177678e+41,9.469756343479187e+38
54427.62000000011,9.195043146610747e+41,9.932844303914555e+38
54431.56999999983,8.857538361886665e+41,1.1902930372885361e+39
54435.529999999795,8.366979081764453e+41,6.99341309742226e+38
54439.56999999983,7.958833760702773e+41,6.757944642963598e+38
54442.60000000009,7.680196089593357e+41,7.527141594195226e+38
54443.560000000056,7.586008707809891e+41,6.812887282337285e+38
54445.580000000075,7.370162624556117e+41,7.91174006981104e+38
54446.60000000009,7.252428397326787e+41,6.581343302119601e+38
54449.529999999795,6.958092829253459e+41,6.546023033950802e+38
54452.54000000004,6.600965673324489e+41,5.698336597899619e+38
54453.549999999814,6.463609074890269e+41,7.370162624556118e+38
54455.52000000002,6.2124427234676964e+41,8.516109102921607e+38
54456.52000000002,6.0711616507925e+41,8.582825165018227e+38
54456.54000000004,6.110406393202277e+41,6.133953238648143e+38
54462.529999999795,5.156759152644696e+41,6.5695698793966676e+38
54465.529999999795,4.642653027076617e+41,6.212442723467697e+38
54468.529999999795,4.0853776848577844e+41,8.359130133282498e+38
54468.549999999814,4.050057416688985e+41,5.7454302887913514e+38
54470.529999999795,3.668598520465952e+41,7.907815595570063e+38
