MJD,luminosity,luminosity_err
54409.58999999985,6.303478237455287e+42,2.92874853968608e+40
54410.56999999983,5.986706573770075e+42,1.489382559081346e+40
54411.560000000056,4.473705074852551e+42,9.079398342907273e+40
54413.56999999983,4.147207965352442e+42,5.899872236137067e+39
54416.62999999989,3.706089530176764e+42,2.793286972978588e+39
54417.580000000075,3.5831321080884246e+42,4.676550087563256e+39
54418.58999999985,3.444891842576677e+42,5.948499465211551e+39
54421.56999999983,3.174663383862757e+42,4.53692047264938e+39
54422.560000000056,3.0857450221265576e+42,4.2840588814620626e+39
54422.58999999985,3.0662941304967636e+42,2.678665647303018e+39
54424.62000000011,2.9322219131914003e+42,2.2403259109315956e+39
54427.56999999983,2.740491695697719e+42,6.550087756333027e+39
54434.62000000011,2.442476248941237e+42,2.5966940325774588e+39
54440.56999999983,2.347305814895461e+42,4.6425110272111176e+39
54442.54000000004,2.3146561039454503e+42,1.685280824781411e+39
54443.529999999795,2.2945105376145924e+42,2.8349674550424316e+39
54445.529999999795,2.2660288748709657e+42,2.8398301779498796e+39
54446.54000000004,2.232684489219891e+42,1.659577860842041e+39
54449.560000000056,2.166690392618805e+42,6.00824148950306e+39
54455.549999999814,2.0326181753134414e+42,5.115584498635743e+39
54456.529999999795,2.0076098860751352e+42,3.5560397947469265e+39
54457.549999999814,1.969402777516612e+42,1.958287982299587e+39
54464.529999999795,1.7922607287452765e+42,4.837714618210118e+39
54466.54000000004,1.727655981546319e+42,1.9909376932495978e+39
54467.54000000004,1.7102891140197174e+42,3.601888325017155e+39
54468.54000000004,1.6991743188026924e+42,5.2149229808879034e+39
54469.529999999795,1.6929222464931157e+42,7.252403879108794e+39
