MJD,luminosity,luminosity_err
54452.81999999983,9.3072103957304e+41,2.783653669214452e+39
54453.81999999983,9.222115900683722e+41,2.3544583098227702e+39
54454.79000000004,9.16361343533913e+41,2.5294338652625015e+39
54455.68000000017,9.009379663067026e+41,2.8575795117862536e+39
54456.720000000205,8.833872267033253e+41,2.6235696504078892e+39
54457.70999999996,8.722185742284489e+41,2.601764186052178e+39
54457.799999999814,8.669001682880315e+41,1.8577191949877878e+39
54458.81999999983,8.695593712582402e+41,2.9463968909912234e+39
54461.75999999978,8.881737920497009e+41,2.5055010385306236e+39
54462.75999999978,8.807280237331166e+41,2.217775277154044e+39
54463.72999999998,8.764732989807828e+41,2.0018479959730982e+39
54465.81999999983,8.743459366046158e+41,2.3363757296253512e+39
54466.70999999996,8.509449504667794e+41,2.0768375197329835e+39
54467.66000000015,8.360534138336107e+41,1.905584848451544e+39
54467.700000000186,8.259484425468176e+41,1.8247450781572e+39
54468.72999999998,8.15311630665983e+41,2.6650532167431447e+39
54469.720000000205,8.200981960123586e+41,2.990007819702646e+39
54470.74000000022,8.216937177944839e+41,3.105949069203745e+39
54471.799999999814,8.445628633382786e+41,2.626228853378098e+39
54476.70999999996,8.190345148242751e+41,9.20616068286247e+39
54479.72999999998,8.062703405672734e+41,2.2124568712136263e+39
54486.700000000186,7.998882534387726e+41,9.700772435321284e+39
54489.77000000002,7.62659411855851e+41,2.4996507919961644e+39
54490.700000000186,7.350037009656806e+41,2.4108334127911942e+39
54492.700000000186,6.9245645344234164e+41,1.337047253420927e+39
54493.74000000022,6.9032909106617474e+41,1.7268864088535205e+39
54494.70999999996,6.876698880959661e+41,1.539146679156787e+39
54496.75999999978,6.749057138389643e+41,1.8029396138014886e+39
54497.700000000186,6.759693950270478e+41,1.8082580197419062e+39
54498.779999999795,6.7969227918534e+41,2.0018479959730982e+39
54499.68000000017,6.743738732449227e+41,3.472919079092543e+39
54512.77000000002,5.063122455277337e+41,1.2567393237206248e+40
54516.74000000022,4.762100679049714e+41,3.002240153365606e+39
54517.669999999925,4.552023644403228e+41,4.210050142434391e+39
54521.700000000186,4.029756181054242e+41,6.541639306713367e+39
54524.62000000011,3.728202564232577e+41,3.784577667201001e+39
54527.62000000011,2.8708755266372967e+41,5.0668453394356296e+39
