MJD,luminosity,luminosity_err
54480.60000000009,6.601599931990118e+41,5.745039173060114e+39
54484.56999999983,6.443212217690931e+41,6.51923832055454e+39
54486.62000000011,5.698156409627555e+41,2.6495096847968015e+39
54487.60999999987,5.583483704474943e+41,2.2345338733329314e+39
54488.60000000009,5.608825738762813e+41,2.703995058515722e+39
54492.60999999987,5.686118943340816e+41,1.9988529544557413e+39
54493.60999999987,5.586651458760927e+41,1.3019470115393179e+39
54496.60000000009,5.451071575320823e+41,1.3551652835438447e+39
54497.560000000056,5.433332151319314e+41,2.1496380584685672e+39
54515.54000000004,5.689920248483997e+41,4.552062908958637e+39
54518.54000000004,5.6189625524779616e+41,2.937141773964126e+39
54519.529999999795,5.6962557570559644e+41,3.730347447174455e+39
