MJD,luminosity,luminosity_err
54484.75999999978,2.890368471573571e+42,1.137242816464001e+40
54487.81999999983,2.738819421982956e+42,5.2198492235282697e+39
54488.70999999996,2.695073304575356e+42,7.636822210298169e+39
54490.77000000002,2.5575855070086132e+42,7.850865713328212e+39
54491.81999999983,2.5138393896010133e+42,5.141731156728984e+39
54492.81999999983,2.456032020169542e+42,3.759041374381627e+39
54493.85999999987,2.409161180089971e+42,3.555934400703484e+39
54494.799999999814,2.3763515920342707e+42,5.1573547700888414e+39
54494.81999999983,2.359165617338428e+42,3.727794147661913e+39
54495.830000000075,2.324793667946742e+42,3.454380913864413e+39
54497.75999999978,2.2357390717955565e+42,5.049551837905827e+39
54499.75,2.1279361396125422e+42,8.18677340056514e+39
54508.830000000075,1.7482823349680137e+42,1.2659813905492237e+40
54513.810000000056,1.571735504001628e+42,7.441527043299955e+39
54515.74000000022,1.5509560982330182e+42,9.405415242633997e+39
54517.75,1.4575268903410724e+42,7.10405699472704e+39
54518.830000000075,1.431435456030111e+42,4.915188763011055e+39
54519.77000000002,1.393470075565658e+42,5.47138939862197e+39
54521.810000000056,1.3667536967203023e+42,4.962059603090627e+39
54524.72999999998,1.3169143701023581e+42,4.037141692187085e+39
54527.700000000186,1.2387963033030723e+42,5.279218954295727e+39
54538.75,1.0445947892400483e+42,3.8152863824771126e+39
54539.75,1.0427199556368653e+42,3.293457696257884e+39
54540.64999999991,1.0210031330666639e+42,5.457328146598098e+39
54542.64000000013,1.0213156053338612e+42,3.377825208401113e+39
54542.779999999795,1.0044421029052154e+42,2.3326054746266706e+39
54548.85000000009,9.02888616066144e+41,3.17471823472297e+39
54549.689999999944,8.83515335499921e+41,5.244847004904041e+39
54554.830000000075,8.12115422445374e+41,2.8888061102375847e+39
54560.66000000015,6.699405408706741e+41,3.220026713466556e+39
54561.799999999814,6.45880176296494e+41,4.1011985069624984e+39
54566.74000000022,5.437017449230284e+41,6.411930922885368e+39
54569.779999999795,4.7980116628121276e+41,8.688291389416554e+39
54571.64000000013,4.5324102356945554e+41,9.906933231485411e+39
54580.64999999991,2.943488756997085e+41,1.0120976734515454e+40
54599.62999999989,1.2719183636259695e+41,2.1107501649166993e+39
54602.580000000075,1.1720834742564826e+41,2.9059920849334274e+39
