MJD,luminosity,luminosity_err
54484.700000000186,2.3910431365664643e+42,1.1330212788570057e+40
54486.669999999925,2.168096212360686e+42,1.3276614587535109e+40
54487.700000000186,2.0240574691940315e+42,6.508046169512494e+39
54488.62999999989,1.8850287692679564e+42,9.20595445456444e+39
54490.60999999987,1.3740043587288693e+42,4.2059313004663107e+40
54491.66000000015,1.313883839841918e+42,1.1099750799503408e+39
54492.66000000015,1.2825710695882973e+42,1.8299182936215846e+39
54493.66000000015,1.2406119574484458e+42,1.670849420733192e+39
54494.64000000013,1.1925155423388846e+42,1.1857519839641026e+39
54494.64999999991,1.2104264469239555e+42,1.692142104505654e+39
54497.64000000013,1.0975752229299073e+42,1.4303673451853862e+39
54498.669999999925,1.0722745045649817e+42,1.2032871353061301e+39
54499.62999999989,1.0430910026886073e+42,1.516790591085379e+39
54503.700000000186,9.530354754391948e+41,2.2382368177287962e+39
54508.669999999925,8.970482422257213e+41,1.637031628859282e+39
54512.60000000009,8.654849698100718e+41,1.7184448315186952e+39
54513.64000000013,8.573436495441305e+41,1.7009096801766678e+39
54517.58999999985,8.444427881996388e+41,1.3451966100955385e+39
54518.64999999991,8.36176216852683e+41,1.2108022001669992e+39
54520.58999999985,8.31291424693118e+41,1.3088737966013386e+39
54522.60000000009,8.305399182070312e+41,1.214434481516419e+39
54523.54000000004,8.291621563158718e+41,1.2283373515090265e+39
54527.54000000004,8.240268619942782e+41,1.4717002019201655e+39
54528.560000000056,8.203945806448581e+41,1.7948479909375295e+39
54539.560000000056,7.783102174239922e+41,2.2156916231461896e+39
54540.54000000004,7.61651823649066e+41,1.9426442665346186e+39
54542.52000000002,7.522579925729799e+41,1.111853846165558e+39
54542.60999999987,7.406096420386331e+41,1.000630886224698e+39
54543.50999999978,7.327188239347206e+41,9.604252892190493e+38
54544.529999999795,7.226987374535621e+41,8.181400611865975e+38
54545.529999999795,6.973980190886367e+41,1.474205223540455e+39
54547.52000000002,6.573176731640024e+41,1.1376555688545415e+39
54548.560000000056,6.278836691255991e+41,1.4453974749071243e+39
54553.54000000004,4.49150376517933e+41,2.4411435689722574e+39
54560.49000000022,2.3447002365911062e+41,1.7009096801766678e+39
54566.49000000022,1.5430933180984202e+41,2.1505610610186587e+39
54570.470000000205,1.2650359182462697e+41,1.6833745288346405e+39
54573.470000000205,1.1751056420778717e+41,1.467942669489731e+39
54575.47999999998,1.1203709196745429e+41,1.3502066533361176e+39
54585.52000000002,9.40635618418761e+40,8.091219833535548e+38
54589.47999999998,8.902846838509391e+40,4.4677060597865784e+38
54592.5,8.53085112789638e+40,4.158335889680808e+38
54594.54000000004,8.315419268551471e+40,4.4827361895083165e+38
54597.49000000022,8.089967322725403e+40,6.133545437279191e+38
