MJD,luminosity,luminosity_err
54508.79000000004,1.3233813599560147e+42,1.3979957984665458e+40
54511.689999999944,1.2791046601805345e+42,3.2600770056909007e+39
54512.68000000017,1.2651656991401057e+42,6.825991215386506e+39
54515.669999999925,1.2405675325981722e+42,1.1183966387732368e+40
54517.64000000013,1.2405675325981722e+42,5.356660733948354e+39
54518.70999999996,1.23154820486613e+42,2.4573568375391424e+39
54523.62999999989,1.1766122995891456e+42,1.4193142094695548e+40
54527.60000000009,1.1520141330472122e+42,6.019171352811093e+39
54528.66000000015,1.1462745608540943e+42,3.366669060705946e+39
54536.669999999925,1.0798595111908744e+42,4.1415113067768465e+39
54542.669999999925,1.0347628725306632e+42,3.456042399141637e+39
54544.700000000186,1.0503417113405544e+42,3.365029182936483e+39
54545.64999999991,1.0282033614528142e+42,4.16610947331878e+39
54548.549999999814,1.0249236059138897e+42,3.102648739822527e+39
54548.669999999925,1.026563483683352e+42,2.651682353220416e+39
54555.58999999985,9.37190145247661e+41,2.9796579071128606e+39
54560.549999999814,8.879938121637941e+41,1.1913711995143055e+40
54564.560000000056,8.888137510485253e+41,5.675616960108756e+39
54565.60999999987,8.945533232416431e+41,2.891104507561901e+39
54571.5,7.998503820551997e+41,1.5874016808394326e+40
54574.5,7.253999313216147e+41,1.6136397251508283e+40
54580.529999999795,5.366500000565127e+41,5.068042246523003e+39
54581.580000000075,5.130357601762568e+41,3.4740810546057214e+39
54594.60999999987,2.05722666179036e+41,2.971458518265549e+39
54595.56999999983,2.0490272729430483e+41,5.0959201686038606e+39
