MJD,luminosity,luminosity_err
54539.89999999991,3.544328759276676e+42,9.560707979568976e+39
54541.83999999985,3.285502963144698e+42,4.941459842478882e+39
54542.779999999795,3.153448985526342e+42,3.6262022254000567e+39
54542.89999999991,3.134961428659772e+42,2.6754135865478932e+39
54543.799999999814,3.053087962536391e+42,4.2178040451302915e+39
54545.81999999983,2.831237280137553e+42,5.599088651018295e+39
54550.83999999985,2.4065516881169204e+42,2.6281382625605214e+39
54552.83999999985,2.273705386632854e+42,2.891982109841997e+39
54555.89999999991,2.0822271190862378e+42,2.322565358351646e+39
54558.75999999978,1.9816019881410505e+42,4.3868331364817873e+39
54560.77000000002,1.92138537434708e+42,3.4254801794201557e+39
54561.91000000015,1.8844102606139404e+42,2.3476556140991337e+39
54562.779999999795,1.8735818344492352e+42,3.9220031352651744e+39
54568.75999999978,1.7193427885909957e+42,2.1456130283430488e+40
54570.75999999978,1.66836995323031e+42,2.493971421300272e+40
54571.74000000022,1.6615031463941554e+42,2.554716251004716e+40
54572.75999999978,1.6136996064963104e+42,2.471786353060388e+40
54573.74000000022,1.599437776913528e+42,2.4047029324302634e+40
54574.70999999996,1.5761962768526973e+42,2.288231324170873e+40
54576.700000000186,1.5212618221634613e+42,1.82260899908855e+40
54580.75999999978,1.4330497651143995e+42,4.9229722856123127e+39
54581.79000000004,1.3955464354707864e+42,2.7414405753570715e+39
54587.720000000205,1.266661753315271e+42,1.2553051112400924e+40
54591.68000000017,1.1715828894300546e+42,8.678587409078357e+39
54594.79000000004,1.084955480112413e+42,1.5497854813290262e+39
54595.689999999944,1.0680525709772635e+42,3.4254801794201557e+39
54624.64000000013,3.1613722241834433e+41,4.0646214310929985e+39
54627.70999999996,2.8866999507372628e+41,8.995516955362413e+38
54628.66000000015,2.915751825813301e+41,1.726473703382387e+39
54646.62000000011,2.048421300815939e+41,3.486225009124599e+39
54653.58999999985,1.780087618295439e+41,3.7371275665994757e+39
54654.60999999987,1.738094453412802e+41,4.03556955601696e+39
