MJD,luminosity,luminosity_err
54551.560000000056,1.0302342770864691e+42,4.9037987482788155e+39
54552.56999999983,1.0350847209522248e+42,1.0801938489037509e+40
54554.58999999985,1.0171380786489294e+42,7.92077483277874e+39
54560.580000000075,9.012124702573728e+41,3.4326591237951706e+39
54561.66000000015,8.687144963568109e+41,3.102343896537221e+39
54568.56999999983,7.96442882757054e+41,7.697654414953986e+39
54569.60000000009,7.95472793983903e+41,8.30881034203918e+39
54572.560000000056,7.925625276644495e+41,8.992722927110706e+39
54574.529999999795,7.828616399329386e+41,9.235245120398482e+39
54591.50999999978,6.7372665295343964e+41,6.645108096085041e+39
54596.580000000075,6.58205232583022e+41,3.105254162856674e+39
54597.54000000004,6.843976294581017e+41,6.354081464139712e+39
54616.47999999998,5.864186633698406e+41,8.022634153959606e+39
