MJD,luminosity,luminosity_err
54558.72999999998,5.1535855602556756e+42,2.770107157494632e+40
54559.83999999985,4.993222497212767e+42,7.35473335709122e+39
54560.75,4.80649838271075e+42,8.835345747377804e+39
54562.720000000205,4.635151548226546e+42,9.037447141897635e+39
54564.75,4.404492347959348e+42,6.803348030738205e+39
54569.81999999983,3.8684843016241455e+42,9.709653954104897e+39
54570.689999999944,3.747662815769899e+42,7.800674477607802e+39
54572.74000000022,3.6356283470686883e+42,1.1398958001776087e+40
54573.700000000186,3.459888004007967e+42,1.1719684127861907e+40
54574.689999999944,3.396182129648455e+42,1.367479544441244e+40
54575.720000000205,3.3676243239010874e+42,1.4006505341939553e+40
54578.79000000004,3.038111180662234e+42,1.240726822008698e+40
54583.70999999996,2.669056460234717e+42,6.680329790595699e+39
54588.75999999978,2.2868212140776463e+42,7.888544649138164e+39
54589.70999999996,2.251673145465502e+42,6.328849104474255e+39
54592.72999999998,2.0924084595667227e+42,6.691313562036995e+39
54593.779999999795,2.152379851636194e+42,7.958840786362453e+39
54602.68000000017,1.7705839563367752e+42,7.093319596788395e+39
54606.66000000015,1.6561330579184802e+42,3.1018170550217453e+40
54616.580000000075,1.058176540654373e+42,2.275837442636351e+40
