MJD,luminosity,luminosity_err
54566.669999999925,3.731137814529633e+41,2.67152466425464e+39
54568.64999999991,3.563698944085235e+41,2.863954410884768e+39
54571.560000000056,3.37376828507368e+41,2.9539215651534004e+39
54572.62000000011,3.59118890788954e+41,2.906438900400511e+39
54573.58999999985,3.548704418373797e+41,3.128857698453517e+39
54574.60000000009,3.471232702198031e+41,3.0613823327520433e+39
54580.60999999987,3.436245475538008e+41,3.293797481279341e+39
54591.560000000056,3.581192557415247e+41,3.5287117174252124e+39
54599.580000000075,3.62367704693099e+41,3.968551138294077e+39
54616.50999999978,3.546205330755223e+41,4.096004606841305e+39
54630.47999999998,3.3262856203207916e+41,4.298430703945726e+39
54648.47999999998,2.8689525861219145e+41,3.58369164503382e+39
