MJD,luminosity,luminosity_err
54753.75999999978,3.0616021366030064e+42,1.4759072776821887e+40
54755.75,2.9314416021448376e+42,1.5347624758719692e+40
54756.74000000022,2.847686127797843e+42,1.132962565153275e+40
54756.75,2.6462202570712858e+42,4.578255320724274e+39
54758.70999999996,2.564728444193128e+42,6.794379898716394e+39
54759.75999999978,2.527378029957306e+42,7.497246784790505e+39
54760.75,2.479841139111714e+42,5.955693324512022e+39
54768.720000000205,2.1221826270353556e+42,6.113017796596243e+39
54769.779999999795,2.118787134832099e+42,5.282254037532803e+39
54770.66000000015,2.0735139054553446e+42,9.27308920709369e+39
54779.689999999944,1.756601299818065e+42,6.853235096906175e+39
54780.68000000017,1.7464148232082952e+42,6.584991212848906e+39
54786.700000000186,1.5958813355305875e+42,6.577068397707974e+39
54789.720000000205,1.5008075538394034e+42,5.84816940474223e+39
54791.700000000186,1.464588970338e+42,5.338845574253745e+39
54792.64999999991,1.4204475716956646e+42,7.685130686704035e+39
54793.669999999925,1.394415464804031e+42,7.170147702543455e+39
54797.720000000205,1.3061326675193601e+42,7.588925074278431e+39
54806.700000000186,1.198608747749569e+42,8.661900610507508e+39
54808.669999999925,1.1533355183728146e+42,8.532871906783758e+39
54815.689999999944,1.0614308627380034e+42,9.733744316002164e+39
54821.580000000075,9.867300342663589e+41,1.260859438142606e+40
54827.62999999989,9.250452592405312e+41,1.813192836539008e+40
