MJD,luminosity,luminosity_err
54816.830000000075,8.001695557311783e+42,1.20152444400269e+41
54818.79000000004,6.864946744011141e+42,3.6325157609383648e+40
54819.77000000002,6.522016934412065e+42,1.9019903328689516e+40
54820.81999999983,6.175911848798182e+42,2.682473177308331e+40
54821.75,5.848858419273137e+42,2.0950471145691724e+40
54822.75999999978,5.569434129970186e+42,1.2691578231180634e+40
54823.85000000009,5.2265043203711094e+42,1.2529639154425516e+40
54824.830000000075,4.893100338816452e+42,1.5511223332328597e+40
54828.85000000009,3.413421715916733e+42,3.597587724775496e+39
54829.81999999983,3.267359019235645e+42,3.267359019235645e+39
54830.75999999978,3.131139678200456e+42,4.0865802310556604e+39
54831.85000000009,2.9949203371652674e+42,3.3848442317834765e+39
54832.83999999985,2.8666391861670946e+42,2.657070969189881e+39
54833.83999999985,2.7628076604829295e+42,2.8113893835094655e+39
54834.85999999987,2.6545307483780362e+42,3.8928883941524786e+39
54837.85999999987,2.402096305200938e+42,3.699196557249296e+39
54838.85999999987,2.317316435605611e+42,3.7912795616786784e+39
54839.810000000056,2.2477778908813537e+42,3.515030548390534e+39
54840.77000000002,2.1849074257881898e+42,3.473751960198052e+39
54840.779999999795,2.1814146221719028e+42,2.3506568337610764e+39
54841.77000000002,2.1109234946432037e+42,3.775403181604647e+39
54844.75999999978,1.9661309083680383e+42,2.781224261368806e+39
54845.779999999795,1.9372358966333012e+42,2.8647340205582107e+39
54846.85999999987,1.8892892288097266e+42,2.9168085472010333e+39
54853.830000000075,1.6435228652637218e+42,3.940517534374572e+39
54855.79000000004,1.5698564617202164e+42,5.975869459865386e+39
54869.62999999989,1.3431417542630494e+42,3.1752760148062635e+40
54872.75,1.3063085524912965e+42,2.86949693458042e+40
54879.689999999944,1.1621510214190924e+42,9.027309710094206e+39
54882.62999999989,1.0716556549971138e+42,1.6733704598029007e+39
54883.669999999925,1.0341873980223998e+42,2.962850049415724e+39
54885.60000000009,9.697292949218329e+41,4.7438623661205575e+39
54890.68000000017,7.788952064319763e+41,4.366004520358612e+39
54898.58999999985,4.689882673868851e+41,1.1018207771377734e+40
54912.75999999978,2.8437771988604896e+41,5.0899674517344395e+39
54917.60000000009,2.7085104406297427e+41,1.4129978265887872e+39
54919.60000000009,2.7008897781942076e+41,2.8266307083805356e+39
