MJD,luminosity,luminosity_err
54828.58999999985,2.0578901400726605e+42,1.758894738227688e+40
54830.60999999987,1.874985131681462e+42,1.4423604999616414e+40
54833.60000000009,1.6553320850746803e+42,7.271100470565171e+39
54834.62999999989,1.582671191330232e+42,1.168420578718203e+40
54837.60999999987,1.6511561716410918e+42,3.790894215012097e+40
54838.62000000011,1.2277185494751667e+42,3.667287177377862e+39
54840.50999999978,1.1742668575252276e+42,2.1823323603936126e+39
54857.549999999814,8.936454747880466e+41,2.954876345607578e+39
54858.580000000075,8.852936479208684e+41,3.567065254971726e+39
54867.54000000004,8.944806574747643e+41,1.1909705112595835e+40
