MJD,luminosity,luminosity_err
54837.83999999985,4.4149098001737935e+41,2.6224666056395657e+39
54838.830000000075,4.3809620123985235e+41,2.807482049014784e+39
54839.85000000009,4.233289135576102e+41,2.851614173122635e+39
54840.799999999814,4.0822214799761524e+41,2.776929040017042e+39
54841.799999999814,3.987167674205398e+41,2.9483653682821526e+39
54844.87000000011,3.649387185841467e+41,2.9076280229518293e+39
54855.87000000011,3.2335267855944163e+41,3.228434617428126e+39
54856.779999999795,3.2063685553742003e+41,3.070577404273122e+39
54858.81999999983,3.192789440264093e+41,3.1978816084303835e+39
54867.799999999814,3.1384729798236615e+41,3.5407542649606044e+39
54883.810000000056,2.9093254123405925e+41,3.328580591365171e+39
54898.70999999996,2.6292561631946197e+41,3.0722747936618865e+39
54928.64000000013,1.625589817618778e+41,1.9859455848532634e+39
54931.669999999925,1.2825474221496804e+41,1.6349254592569772e+39
