MJD,luminosity,luminosity_err
54837.54000000004,3.144181283242351e+42,2.6245103399744054e+40
54838.54000000004,2.842014999673307e+42,2.0766188554164126e+40
54839.54000000004,2.4751479629026912e+42,2.510939868929093e+41
54840.54000000004,1.9348278430810528e+42,1.2121066637017908e+40
54841.54000000004,1.879763372271204e+42,1.2368856755662228e+40
54842.549999999814,1.651245818410333e+42,1.0813285455284005e+40
54845.549999999814,1.2093534401612984e+42,9.120052977881162e+39
54848.549999999814,8.548759093228983e+41,7.089550616767997e+39
54855.529999999795,7.743441207634949e+41,6.924357204338452e+39
54856.54000000004,8.183956974113738e+41,6.685515062200734e+39
54866.529999999795,1.4619617000014783e+42,1.0138745687863361e+40
54870.54000000004,1.4241048763197077e+42,1.0118096511309667e+40
