MJD,luminosity,luminosity_err
54857.799999999814,5.232545687190111e+41,3.9232297014414585e+39
54859.779999999795,4.996632896965129e+41,1.464074776136241e+39
54860.79000000004,4.873958246048138e+41,1.2371266719398081e+39
54866.79000000004,3.963334875779705e+41,6.841470916524491e+38
54869.75999999978,3.802914178426718e+41,6.3649270802700264e+38
54870.87999999989,3.77224551569747e+41,7.11984800898997e+38
54871.81999999983,3.747238759933621e+41,6.648022428540006e+38
54874.75,3.727422085554723e+41,6.912244753591987e+38
54878.81999999983,3.737802248324622e+41,6.964145567441482e+38
54879.830000000075,3.753844318059921e+41,5.850637197579565e+38
54884.81999999983,3.868969759689712e+41,7.365197310823952e+38
54886.79000000004,3.89775112009716e+41,5.945002313669558e+38
54887.79000000004,3.934553515372258e+41,6.308308010616031e+38
54888.68000000017,3.9482364572053065e+41,6.973582079050482e+38
54890.79000000004,3.989757108284904e+41,6.648022428540006e+38
54895.85999999987,4.064305549995998e+41,6.865062195546989e+38
54898.72999999998,4.093086910403445e+41,6.4592921963600196e+38
54901.720000000205,4.099692468529745e+41,8.450396145858871e+38
54912.87000000011,4.057699991869698e+41,8.657999401256855e+38
54915.700000000186,4.042129747714849e+41,7.223649636688963e+38
54917.779999999795,4.031277759364501e+41,7.766249054206422e+38
54919.799999999814,4.022313073335951e+41,7.440689403695946e+38
54928.68000000017,3.884540003844561e+41,8.540043006144366e+38
54937.669999999925,3.477354527916241e+41,7.12456626479447e+38
54938.68000000017,3.420263632681796e+41,7.577518822026437e+38
54945.720000000205,2.9512690057145307e+41,5.034378943401126e+38
54946.64000000013,2.8833261221297355e+41,6.0440856855640505e+38
54947.60000000009,2.813024110642691e+41,5.572260105114086e+38
54963.580000000075,9.53087672508929e+40,2.1567147282367896e+39
