MJD,luminosity,luminosity_err
54907.81999999983,1.9812526925808068e+42,1.7679478511908566e+40
54908.700000000186,1.8580147770094764e+42,1.3646237638665011e+40
54911.77000000002,1.639437725327704e+42,1.0700390138109671e+40
54913.799999999814,1.4696286188452822e+42,4.252916302069456e+39
54914.70999999996,1.432283795944879e+42,5.838972898192466e+39
54915.72999999998,1.3556170712846392e+42,6.860463642232909e+39
54917.81999999983,1.2194183054125801e+42,4.665906108262151e+39
54920.75,9.485585016702433e+41,2.064290004676998e+39
54921.81999999983,9.246138799282201e+41,1.6548150053455173e+39
54927.68000000017,7.620540625970528e+41,2.0552833120951358e+39
54928.70999999996,7.471161334368916e+41,1.8782249164614594e+39
54929.75,7.17020599687743e+41,1.0322548400529119e+39
54930.64999999991,6.891218202268535e+41,2.088673977276673e+39
54931.72999999998,6.759412944972994e+41,2.2890179683658954e+39
54932.74000000022,6.541934270435352e+41,1.1631813956331494e+39
54933.66000000015,6.295897790150342e+41,1.990918411449147e+39
54937.700000000186,5.516050017818391e+41,2.855780574736722e+39
54938.70999999996,5.421589583423253e+41,3.1106040721747675e+39
54942.62999999989,4.795514611269433e+41,2.3373465627075936e+39
54945.77000000002,4.3693442793471845e+41,1.0252252263304832e+39
54946.669999999925,4.255113056357715e+41,1.4151491124964585e+39
54947.62999999989,4.096946747603065e+41,1.561892298952161e+39
54948.70999999996,4.217768233457312e+41,1.3859322804626136e+39
54949.700000000186,4.026650610378778e+41,1.7231340637103728e+39
54959.62000000011,3.2292288037407545e+41,1.648444417909566e+39
54959.66000000015,3.205064506569905e+41,1.0581765406543683e+39
54963.60999999987,2.9480442548436e+41,1.603630630429082e+39
54964.60000000009,2.8755513633310526e+41,1.5473937206496514e+39
54966.60000000009,2.8008617175302462e+41,1.36198765872059e+39
54967.64999999991,2.809648734683282e+41,9.112136787698401e+38
54968.60000000009,2.761320140341584e+41,1.4727040748488447e+39
